TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Gyártó	Kategória	Sorozat	Érintőképernyő	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	Alapszín	Chipset	USB 3	SSD kapacitás	Extra	Képarány	Number of SSDs installed	SSD meghajtó kapacitás	Intel Wireless Display (WiDi)	Tárolókapacitás	Hangrendszer	Processor clock speed	Processszorcsalád	Turbo frequency (max)	Processzor magok száma	Processor number of threads	System bus	L3-gyorsítótár	Alaplapi lapkakészlet	Internal memory	Belső memória-típus	Teljes tárolókapacitás	Storage media	Kártyaolvasó beépítve	Kompatibilis memóriakártyák	Átlós képernyő	Képernyő-felbontás	LED backlight	Teljes HD (Full HD)	On-board graphics adapter mode	Discrete graphics adapter mode	Optikai meghajtó-típus	Fényírás	Beépített mikrofon	Beépített kamera	WLAN-kapcsolat	Vezetéknélküli LAN típus	Ethernet/LAN csatlakozás	Bluetooth verzió	3G network access module	USB 3.0 portok száma	DVI-port	Mikrofon, bemeneti jackdugó	S/PDIF kimeneti port	DC-bemeneti jackdugó	ExpressCard-csatlakozó	CardBus PCMCIA csatlakozó típu	SmartCard csatlakozó	Mutatóeszköz	Numerikus billentyűzet	Biztosított operációs rendszer	Eszköztípus	Termék színe	Külső megjelenés	Market positioning	Akkumulátor-technológia	Akkumulátorcellák száma	Intel My WiFi Technology	Intel Anti-Theft Technology	Intel vPro Technology	Intel visual technologies	Intel Hyper-Threading Technolo	Intel Turbo Boost Technology	Memória bővítőhelyek	Maximális belső memória	Merevlemez kapacitása	Merevlemez forgási sebesség	Merevlemez csatolófelület	Méretarány	Ethernet LAN adatátviteli sebe	Kábelezési technológia	USB 2.0 portok száma	VGA (D-Sub) portok száma	Hangszóró/fejhallgató/kimeneti	Ethernet LAN (RJ-45) portok me	HDMI portok mennyisége	Szélesség	Mélység	Operating system architecture	Telepített merevlemezek száma	Discrete graphics memory	AC adapter mellékelve	Beépített hangszórók száma	Discrete graphics memory type	Magasság (elülső)	magasság (hátulsó)	Dokkoló csatlakozó	Hangszóró teljesítmény	Combo headphone/microphone por	Battery capacity	Magasság	AC adapter eloszlás	Kábelek mellékelve	Akkumulátor élettartam	Energy Star által tanúsított	EPEAT compliance	Full-size keyboard	Spill resistant keyboard	DisplayPorts quantity	Intel Small Business Advantage	SSD meghajtó csatlakozók	Touch technology	Touch screen type	Micro HDMI ports quantity	L2-gyorsítótár	Windows-gombok	Felhasználói kézikönyv	Ráadás szoftver	WiFi által tanúsított	Memory layout	Garanciakártya	Kábelzár csatlakozó	Jelszavas védelem	Billentyűzet billentyűk száma	Memory form factor	Front camera	Intel Identity Protection Tech	Front camera resolution	Intel Smart Connect Technology	Intel Matrix Storage Technolog	Intel HD Audio Technology	Vezetéknélküli LAN adatátvitel	Island-style keyboard	Glossy display	Maximális felbontás	Akkumulátor töltési idő	Keyboard backlit	Near Field Communication (NFC)	4G	Fejhallgató csatlakozhatóság	Mikrofon csatlakoztathatóság	4G WiMAX	Data network	Maximális grafikus adapter mem	Memória órajel	Storage media type	Tápegység	Soros portok száma	Memóriatípus	Hangszórógyártó	Processzor-foglalat	Ujjlenyomat-olvasó	Fényerő	Maximum internal memory (64-bi	Recovery operating system incl	USB Sleep-and-Charge	USB Sleep-and-Charge ports	Meghajtóprogramok mellékelve	Akkumulátor teljesítménye	AC adapter frekvencia	AC adapter bemeneti feszültség	AC adapter kimeneti feszültség	3D kompatibilitás	Merevlemez méret	AC adapter kimeneti áram	Thunderbolt ports quantity	Gyors áttekintő útmutató	Megbízott platform modul (TPM)	Üzemi hőmérséklettartomány (T-	Tárolási hőmérséklettartomány	Beépített TV-tuner	RoHS compliance	Power auto-sensing	Támogatott lemezfajták	Kijelzőszínek	Relatív üzemi páratartalom-tar	Tárolási relatív páratartalmi	Üzemi magasság	Nem üzemeltetési magasság	On-board graphics adapter memo	Wireless Wide Area Network (WW	Telepfeszültség	Üzemi ütődés	Üzemen kívüli ütődés	Üzemi rezgés	Nem üzemi rezgés
NBK Samsung NP915S3G-K01HU 13,3"	0 Ft								1580 g	Garancialeveles 2 év				Samsung			Y					Y													1	128 GB	N		HD	1.4 GHz			4					4 GB	DDR3-SDRAM	128 GB	SSD	Y	SD, SDHC, SDXC	13.3 "	1366 x 768 pixelek	Y	N		N	N	N	Y		Y	802.11b, 802.11g, 802.11n	N	4.0		1	N	N	N	Y	N	N	N	TouchPad	N	Windows 8	Ultrabook	Fehér	Clamshell		Lithium Polymer (LiPo)	2	N	N	N	N	N	N		4 GB				16:9			1					324 mm	224 mm				Y	2				N	1.5 W	Y	30 Wh	17.5 mm	40 W		5.5 ó						N	Serial ATA III	multi-touch	capacitive	1	2 Mb	Y	Y	SideSync, HomeSync Lite, S Apps	Y	1 x 4 GB	Y	Y	BIOS, HDD	80	On-board	Y	N	2 mp	N	N	N																																																								
Lenovo IdeaPad S210 11,6" 59-377622	0 Ft	11,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics		Garancialeveles 2 év	3 cellás	Nincs	Windows 8	Lenovo	Ultrabook	Lenovo IdeaPad S	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, SD	10/100 Mb/s	2 db		Fehér										Dolby Advanced Audio v2																																																																																																																																																																						
Lenovo IdeaPad Y510p 15,6" 59-390558	0 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 4700QM (2,4 GHz, 6 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 750M	2,7 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Üzleti	Lenovo IdeaPad Y	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, XD, SD		1 db	387 x 259 x 15,5-36 mm	Szürke	Intel HM86 Express	2 db	8 GB							Dolby ® Home Theater ™																																																																																																																																																																						
Asus X502CA-XX192D 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1333 MHz	Igen	750 GB 5400 rpm	Intel HD Graphics	2,0 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fekete	Intel HM76 Express	1 db																																																																																																																																																																														
Asus X502CA-XX038D 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		320 GB 5400 rpm	Intel HD Graphics 4000	1,86 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fekete	Intel HM76 Express	1 db																																																																																																																																																																														
Asus X502CA-XX030D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics 4000	2,0 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fehér	Intel HM76 Express	1 db																																																																																																																																																																														
NBK Samsung NP905S3G-K01HU 13,3" Fehér	0 Ft									Garancialeveles 2 év				Samsung																																																																																																																																																																																															
NBK Samsung NP270E5V-X03HU 15,6" Fekete	0 Ft									Garancialeveles 2 év				Samsung																																																																																																																																																																																															
NBK Samsung NP270E5E-X05HU 15,6" Fekete	0 Ft									Garancialeveles 2 év				Samsung																																																																																																																																																																																															
Acer E1-531G-20204G75Maks 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2020M (2,4 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		750 GB 5400 rpm	NVIDIA GeForce GT 710M	2,5 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Linux	Acer	Általános	Acer Aspire E	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB, 3,5 Jack, D-Sub	MMC, MS, MS Pro, XD, SD	10/100/1000 Mb/s	3 db	381 x 253 x 33,2 mm	Fekete	Intel HM77 Express																																																																																																																																																																															
Asus X502CA-XX052D 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3317U (1,7 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics 4000	1,86 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fekete	Intel HM76 Express	1 db																																																																																																																																																																														
Asus X502CA-XX078D 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core 1007U (1,5 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	1,86 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fekete	Intel HM76 Express	1 db																																																																																																																																																																														
Asus VivoBook S500CA-CJ085D 15,6"	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3537U (2 GHz, 4 MB cache)	8 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics 4000	2,1 kg	Garancialeveles 2 év	3 cellás		Free DOS	Asus	Ultrabook	Asus VivoBook	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x259x21,5 mm	Ezüst	Intel HM76 Express	1 db	24 GB							Waves MaxxAudio 3																																																																																																																																																																						
NBK Lenovo IdeaPad S510P 59-390206	0 Ft									24 hónap saját				Lenovo																																																																																																																																																																																															
NBK Lenovo IdeaPad S510P 59-390208	0 Ft									24 hónap saját				Lenovo																																																																																																																																																																																															
Lenovo IdeaPad G500 15,6" 59-390048	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2020M (2,4 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	2,6 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Általános	Lenovo IdeaPad G	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, SD	10/100 Mb/s	1 db	377x250x34 mm	Fekete	Intel HM76 Express	2 db								Dolby® Advanced Audio™ v2																																																																																																																																																																						
NBK Dell XPS 14 14" HD Ci7-3537U 8GB 500GB+32GBSSD	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
NBK Dell XPS 15 15,6" FHD Ci5-3210 4GB 750GB GT640	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
Lenovo IdeaPad G500 15,5" 59-390525	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3110M (2,4 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	2,6 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Általános	Lenovo IdeaPad G	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, SD	10/100 Mb/s	1 db	377x250x34 mm	Fekete		2 db								Dolby® Advanced Audio™ v2																																																																																																																																																																						
Asus X550CC-XO198D 15,6" Sötétszürke	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3537U (2 GHz, 4 MB cache)	8 GB DDR III 1600 MHz	Igen	1000 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Sötétszürke	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X450CC-WX037D 14" Ezüst	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i7 3537U (2 GHz, 4 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	NVIDIA GeForce GT 720M	2,1 kg	Garancialeveles 2 év	4 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	348x241x24,8 ~31,7 mm	Ezüst	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X502CA-XX084D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core 1007U (1,5 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		320 GB 5400 rpm	Intel HD Graphics	1,86 kg	Garancialeveles 2 év	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fehér	Intel HM76 Express	1 db																																																																																																																																																																														
Asus X550CC-XX239D 15,6" Kék	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3537U (2 GHz, 4 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Kék	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus VivoBook S550CB-CJ136D 15,6" Sötét szürke	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	NVIDIA GeForce GT 740M	2,6 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Free DOS	Asus	Ultrabook	Asus VivoBook	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	380 x 266 x 22 mm	Ezüst	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Lenovo Thinkpad Edge E431 14" Fekete N4G48HV	0 Ft	14 " (1600 x 900 pixel)	Nem	Intel Core i7 3632QM (2,2 GHz, 6 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 730M	2,14 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Lenovo	Üzleti	Lenovo ThinkPad Edge	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD		1 db	344x239x25 mm	Fekete		2 db								Dolby® Advanced Audio																																																																																																																																																																						
Asus X502CA-XX126D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		320 GB 5400 rpm	Intel HD Graphics	1,86 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fehér	Intel HM76 Express	1 db																																																																																																																																																																														
Asus X502CA-XX004D 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics 4000	2,0 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fekete	Intel HM76 Express	1 db																																																																																																																																																																														
Asus X502CA-XX075D 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1333 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics	2,0 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fekete	Intel HM76 Express	1 db																																																																																																																																																																														
Acer Aspire E1-530G-21174G75MNKK 15,6"	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz	Nem	750 GB 5400 rpm	NVIDIA GeForce GT 720M	2,35 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Windows 8	Acer	Általános	Acer Aspire E	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	381 x 256 x 25,3 mm	Fekete	Intel HM77 Express	1 db																																																																																																																																																																														
NBK Sony Vaio PRO13 SVP1321M2EB.EE2 Core I5 - 128G	0 Ft			i5-4200U					1060 g	24 hónap saját				Sony			Y					Y													1	128 GB	Y		HD	1.6 GHz	Intel Core i5	2.6 GHz	2	4		3 Mb		4 GB		128 GB	SSD	Y	SD	13.3 "	1920 x 1080 pixelek	Y	Y	Intel HD Graphics 4400	N	N	N	Y		Y	802.11a, 802.11b, 802.11g, 802.11n	Y	4.0+HS	N	2	N	Y	N	Y	N	N	N	TouchPad	N	Windows 8	Ultrabook	Fekete	Clamshell		Lithium Polymer (LiPo)			Y	N	Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video	Y	2.0		4 GB				16:9	10, 100, 1000 Mbit/s	10/100/1000Base-T(X)			1	1	1	322 mm	216 mm				Y			12.8 mm	17.2 mm	N							8 ó							Serial ATA III						Y					Kensington			On-board	Y	Y	1280 x 720 pixelek	Y	N	Y	300 Mbit/s	Y	Y	1920 x 1080 pixelek	2.5 ó	Y	Y	N																																																
Lenovo IdeaPad G500 15,6" 59-390087	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2020M (2,4 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	AMD Radeon HD 8570M	2,6 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Általános	Lenovo IdeaPad G	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100 Mb/s	1 db	377x250x34 mm	Fekete	Intel HM76 Express	2 db								Dolby® Advanced Audio™ v2																																																																																																																																																																						
Lenovo IdeaPad G505s 15,6" 59-390277	0 Ft	15,6 " (1366x768 pixel)	Nem	AMD E Series E1-2100 (1 GHz, 1 MB cache)	4 GB DDR III 1600 MHz		320 GB 5400 rpm	AMD Radeon HD 8210	2,4 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Windows 8	Lenovo	Általános	Lenovo IdeaPad G	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100 Mb/s	1 db	380 x 260 x 25,8 mm	Fekete		2 db								Dolby® Advanced Audio™ v2																																																																																																																																																																						
NBK HP Pavilon 17,3" 17-E051SH	0 Ft			A4-5150M					2900 g	24 hónap saját				HP			N					Y															N		DTS Sound+	2.7 GHz	AMD A	3.3 GHz	2	2			AMD A70M	8 GB	DDR3-SDRAM	1000 GB	HDD	Y	MMC, SD	17.3 "	1600 x 900 pixelek	Y	N	AMD Radeon HD 8350G	AMD Radeon HD 8670M	DVD Super Multi DL	N	Y		Y	802.11b, 802.11g, 802.11n	Y		N	2	N	Y	N	Y	N	N	N	TouchPad	Y	FreeDOS	Notebook	Black, Silver	Clamshell		Lithium-Ion (Li-Ion)	6	N	N	N	N	N	N	2x SO-DIMM		1000 GB	5400 RPM	Serial ATA	16:9	10, 100 Mbit/s		1	1	1	1	1	420 mm	267 mm	N	1	1024 Mb	Y	2	GDDR3			N				32.8 mm	90 W			Y	Silver	Y			N					1 Mb		Y									Y	N		N	N	N		Y	Y						3.5 mm	3.5 mm	N	N																																												
NBK HP Pavilon 17,3" 17-E050SH	0 Ft			A4-5000					2900 g	24 hónap saját				HP			N					Y															N		DTS Sound+	1.5 GHz	AMD A		4	4			AMD A76M FCH	4 GB	DDR3-SDRAM	750 GB	HDD	Y	MMC, SD	17.3 "	1600 x 900 pixelek	Y	N	AMD Radeon HD 8330	N	DVD Super Multi DL	N	Y		Y	802.11b, 802.11g, 802.11n	Y		N	2	N	Y	N	Y	N	N	N	TouchPad	Y	FreeDOS	Notebook	Black, Silver	Clamshell		Lithium-Ion (Li-Ion)	6	N	N	N	N	N	N	2x SO-DIMM		750 GB	5400 RPM	Serial ATA	16:9	10, 100 Mbit/s		1	1	1	1	1	420 mm	267 mm	N	1		Y	2				N				32.8 mm	65 W					Y			N					2 Mb		Y			1 x 4 GB						Y	N		N	N	N		Y	Y						3.5 mm	3.5 mm	N	N	1980 Mb																																											
Lenovo ThinkPad T430i 14" N1TFEHV	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i3 3120M (2,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	Intel HD Graphics	2,16 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Lenovo	Üzleti	Lenovo ThinkPad T	Nem	Dolby® Advanced Audio 2.0	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	USB 3.0, USB, ExpressCard 34mm, Mini Display Port, 3,5 Jack, D-Sub	MMC, SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	350.5x232x29.9 mm	Fekete	Intel QM77 Express	2 db																																																																																																																																																																														
Lenovo ThinkPad T530 15,6" N1E7THV	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	Intel HD Graphics	2,57 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Lenovo	Üzleti	Lenovo ThinkPad T	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	USB 3.0, USB, ExpressCard 34mm, 3,5 Jack, Display Port, D-Sub	MMC, SDHC, SDXC, SD	10/100/1000 Mb/s	2 db	245x372x31,8-35,6 mm	Fekete	Intel QM77 Express	2 db																																																																																																																																																																														
Lenovo ThinkPad T530i 15,6" N1BE4HV	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3120M (2,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	Intel HD Graphics	2,57 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Lenovo	Üzleti	Lenovo ThinkPad T	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	USB 3.0, USB, ExpressCard 34mm, 3,5 Jack, Display Port, D-Sub	MMC, SDHC, SDXC, SD	10/100/1000 Mb/s	2 db	245x372x31,8-35,6 mm	Fekete	Intel QM77 Express	2 db																																																																																																																																																																														
NBK Lenovo ThinkPad X1 Carbon 14" (N3NCJHV_TS)	0 Ft									Garancialeveles 3 év				Lenovo																																																																																																																																																																																															
PC HP Terminal t510 VIA Eden (E4S22AA)	0 Ft			U4200					1490 g	Garancialeveles 3 év				HP																									24-bit stereo	1 GHz	VIA Eden X2		2				VIA VX900	4 GB		1 GB		N						VIA ChromotionHD 2.0						N		Y													Windows Embedded CE 6.0		Fekete											1x SO-DIMM	4 GB						10/100/1000Base-T(X)	6			1		58.4 mm	215.9 mm													219.7 mm				Y															1 x 4 GB																									1066 MHz	Flash	65 W	1	DDR3-SDRAM																																						
Lenovo ThinkPad T530 15,6" N1E6JHV	0 Ft	15,6 " (1600x900 pixel)	Nem	Intel Core i7 3630QM (2,4 GHz, 6 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	NVIDIA Quadro NVS 5400M	2,57 kg	Garancialeveles 3 év	9 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Lenovo	Üzleti	Lenovo ThinkPad T	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	USB 3.0, USB, ExpressCard 34mm, 3,5 Jack, Display Port, D-Sub	MMC, SDHC, SDXC, SD	10/100/1000 Mb/s	2 db	245x372x31,8-35,6 mm	Fekete	Intel QM77 Express	2 db																																																																																																																																																																														
