TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Lopás védelem	Méret	Szállítás	Érintőkijelző: 	Biztonság	Mobil internet modul	GPS
Acer V5-171-33214G50ASS NX.M3AEU.030 Notebook	98347 Ft	11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	Intel® Core™ i3-3217U (Dual-Core, 1.8 GHz)		11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	285 x 202 x 27.4 mm	magyar		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Dolby® Advanced Audio™ v2	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1.38 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo IdeaPad G500s 59-390142 Piros Notebook	98347 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 260 x 26.9 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	Dolby® Advanced Audio™ v2	4 cellás lítiumion (Li-Ion)	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.7 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo IdeaPad G505 59-402609 Notebook	98347 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® A4-5000 (Quad-Core, 1.5 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 250 x 34 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A76M Fusion™	AMD Radeon™ HD 8570M 2GB DDR3	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.6 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
ASUS X550CC-XO095D Notebook	98347 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-3217U (Dual-Core, 1.8 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
HP Pavilion 17-e050sh E6A88EA Notebook	98347 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	AMD® A4-5000 (Quad-Core, 1.5 GHz)		17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	42 x 26,7 x 3,28 cm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, médiakártya-olvasó	AMD® A76M Fusion™	AMD Radeon™ HD 8330	Beépített DTS® sztereó hangszórók	6 cellás lithium-ion	10/100mbps LAN, VGA monitor kimenet, Bluetooth, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db)		2,9 kg						
Samsung Ativ Book 2 NP270E5G-K01HU Notebook	0 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	376 x 248 x 25.2 ~ 31.8 mm	magyar teljes méretű, numerikus billentyűkkel		3 az 1-ben kártyaolvasó (SD,MMC, MS), beépített HD webkamera	Mobile Intel® HM75 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2,2 kg	2 év					
Toshiba Satellite NB10t-A-103 Notebook	98347 Ft		Intel® Celeron® N2810 (Dual-Core, 2 GHz)		11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	284 x 208.6 x 13.8 - 25.1 mm	magyar		beépített HD webkamera, Univerzális kártyaolvasó		Intel® HD Graphics integrált VGA vezérlő	Beépített DTS® sztereó hangszórók	6 cellás lithium-ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1.5 kg		11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)				
HP 250 G1 H6Q56EA Notebook	98417 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	37,6 x 24,7 x 3,58 cm	magyar		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített Altec Lansing® sztereó hangszórók	6cellás (47WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2,45 kg						
Acer TMP253-E-20204G50Maks NX.V7XEU.018 Notebook	98819 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	382 x 253 x 33,2 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6 cellás lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2,60 kg	3 év nemzetközi, véletlen sérülésre is, belföldön el- és visszaszállítás					
Lenovo IdeaPad B590 59-389657 Notebook	99921 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (Dual-Core, 2.4 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 252 x 33.4 mm	magyar teljes méretű, numerikus billentyűkkel		4 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	ujjlenyomat olvasó		2.5 kg	2 év nemzetközi, belföldön el- és visszaszállítás		USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS			
Lenovo IdeaPad B590 59-401782 Notebook	99921 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 252 x 33.4 mm	magyar teljes méretű, numerikus billentyűkkel		4 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	NVIDIA® GeForce® 610M 1GB DDR3	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.5 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
HP 250 G1 H6E18EA Notebook	100709 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® 1000M (Dual-Core, 1.8 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	37,6 x 24,7 x 3,58 cm	magyar		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített Altec Lansing® sztereó hangszórók	6cellás (47WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2,45 kg						
Toshiba Satellite C855D-15V Notebook	101496 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® A8-4500M (Quad-Core, 1.9 - 2.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380.0 x 242.0 x 33.52 mm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, Univerzális kártyaolvasó	AMD® A70M Fusion™	AMD Radeon™ HD 7640G + 7610M dupla GPU 1GB DDR3	Beépített sztereó hangszórók	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
Dell Inspiron 15 3521 157795 NotebookCikkszám: INSP3521-27	101496 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3217U (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	376 x 259 x 24,9 / 31,3 mm	magyar teljes méretű, numerikus billentyűkkel		3 az 1-ben kártyaolvasó (SD,MMC, MS), beépített HD webkamera	Mobile Intel® HM76 Express Chipset	AMD Radeon™ HD 7670M 1GB GDDR3	Beépített sztereó hangszórók	6cellás (65WHr) lithium-ion	10/100mbps LAN, USB 2.0 (2db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,35 kg	3 év					
Acer TMB113-M-33214G50TKK NX.V7QEU.011 Notebook	101496 Ft	11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	Intel® Core™ i3-3217U (Dual-Core, 1.8 GHz)		11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	285 x 202 x 20,95 - 27,35 mm	magyar		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, USB 3.0 (1db), Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v4.0 + HS		1,38 kg	3 év nemzetközi, véletlen sérülésre is, belföldön el- és visszaszállítás					
Toshiba Satellite C855-2GJ Notebook	102284 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-2348M processzor		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380.0 x 242.0 x 33.52 mm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, Univerzális kártyaolvasó	Mobile Intel® HM76 Express Chipset	AMD Radeon™ HD 7610M 1GB DDR3	Beépített sztereó hangszórók	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
Acer V5-171-323C4G50ASS NX.M3AEU.016 Notebook	102284 Ft	11,6" HD WXGA fényes LED TFT 16:9 (1366 x 768)	Intel® Core™ i3-2375M (Dual-Core, 1.5 GHz)		11,6" HD WXGA fényes LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	285 x 202 x 27.4 mm	magyar		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 3000	Dolby® Advanced Audio™ v2	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1.38 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Samsung Ativ Book 2 NP270E5E-K04HU Notebook	102284 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	376 x 248 x 25.2 ~ 31.8 mm	magyar teljes méretű, numerikus billentyűkkel		3 az 1-ben kártyaolvasó (SD,MMC, MS), beépített HD webkamera	Mobile Intel® HM75 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2,2 kg	2 év					
Lenovo IdeaPad S210 59-377627 Notebook	102284 Ft		Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	299 x 207 x 6 - 20,9 mm	magyar		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Dolby® Advanced Audio™ v2	3-cellás Lithium-Ion	10/100mbps LAN, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1,3 kg	2 év nemzetközi, belföldön el- és visszaszállítás	11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)				
Lenovo IdeaPad S210 Touch 59-377622 Fehér Notebook	0 Ft		Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	299 x 207 x 6 - 20,9 mm	magyar		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Dolby® Advanced Audio™ v2	3-cellás Lithium-Ion	10/100mbps LAN, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1,3 kg	2 év nemzetközi, belföldön el- és visszaszállítás	11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)				
ASUS VivoBook S200E-CT161H Notebook	0 Ft		Intel® Pentium® 987 (Dual-Core, 1.5 GHz)	4GB DDR3 1333MHz	11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	30.3 x 20.0 x 2.09 cm	magyar	500GB SATA 5400rpm	2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	2 cellás (38 WHr) Lithium-polymer	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, USB 3.0 (1db), Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v4.0 + HS		1.40 kg		11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)				
Lenovo IdeaPad G500 59-390528 Notebook	102284 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 250 x 34 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	AMD Radeon™ HD 8570M 2GB DDR3	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,6 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo IdeaPad G710 59-402654 Notebook	102284 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	Intel® Pentium® 3550M (Dual-Core, 2.3 GHz)		17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	418 x 278 x 36.8 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,9 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo IdeaPad G505s 59-390290 Notebook	102284 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® A8-4500M (Quad-Core, 1.9 - 2.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 260 x 26.9 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A76M Fusion™	AMD Radeon™ HD 8570M 2GB DDR3	Dolby® Advanced Audio™ v2	4 cellás lítiumion (Li-Ion)	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.7 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Toshiba Satellite M50D-A-10W Notebook	102284 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® A4-5000 (Quad-Core, 1.5 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	377.5 x 249.5 x 21.3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A76M Fusion™	AMD Radeon™ HD 8330	Beépített sztereó hangszórók	3-cellás Lithium-Ion	Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.20 kg						
Lenovo ThinkPad Edge Plus E535 NZR7AHV Notebook	102284 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	AMD® A6-4400M (Dual-Core, 2.7 - 3.2 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 24.5 x 31.1 mm	magyar teljes méretű, numerikus billentyűkkel		4 az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A70M Fusion™	AMD Radeon™ HD 7520G	Dolby® Advanced Audio™	6 cellás lithium-ion	ujjlenyomat olvasó		2.45 kg			VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS			
Acer V5-122P-42154G50nss NX.M8WEU.005 Notebook	102284 Ft		AMD® A4-1250 (Dual-Core, 1.0 GHz)		11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	289 x 206 x 21.2 mm	magyar		SD/SDHC/SDXC kártyahely, beépített HD webkamera	AMD® A70M Fusion™	AMD Radeon™ HD 8210	Beépített sztereó hangszórók	3-cellás Lithium-Ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1.20 kg	2 év nemzetközi, belföldön el- és visszaszállítás	11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)				
Acer E1-571-33118G1TMnks NX.M09EU.026 Notebook	102284 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (Dual-Core, 2.4 GHz)	8GB DDR3 1600MHz	15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 259 x 24.8 - 29.7 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer V5-122P-42154G50nss NX.M91EU.002 Notebook	103543 Ft		AMD® A4-1250 (Dual-Core, 1.0 GHz)		11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	289 x 206 x 21.2 mm	magyar		SD/SDHC/SDXC kártyahely, beépített HD webkamera	AMD® A70M Fusion™	AMD Radeon™ HD 8210	Beépített sztereó hangszórók	3-cellás Lithium-Ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1.20 kg	2 év nemzetközi, belföldön el- és visszaszállítás	11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)				
Acer V5-122P-42154G50nbb NX.M92EU.003 Kék Notebook	103543 Ft		AMD® A4-1250 (Dual-Core, 1.0 GHz)		11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	289 x 206 x 21.2 mm	magyar		SD/SDHC/SDXC kártyahely, beépített HD webkamera	AMD® A70M Fusion™	AMD Radeon™ HD 8210	Beépített sztereó hangszórók	3-cellás Lithium-Ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1.20 kg	2 év nemzetközi, belföldön el- és visszaszállítás	11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)				
Acer E1-571G-33124G50MAKS NX.M7CEU.001 Notebook	103858 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3120M (Dual-Core, 2.5 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 259 x 24.8 - 29.7 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	NVIDIA® GeForce® 710M 2GB DDR3	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Packard Bell F6243-HC-346HG Piros-Fehér NotebookCikkszám: NX.C0WES.006	104646 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	381 x 253 x 34mm	magyar teljes méretű, numerikus billentyűkkel		5 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	NVIDIA® GeForce® GT 630M 2GB DDR3	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)		2.70 kg	2 év, belföldön el- és visszaszállítás					
