TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Audio	Egyéb	Szín
Asus B33E-RO125X Notebook	207900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel Graphics 3000 HD	1,9 kg, 32.6 x 22.6 x 2.97 cm	3 év garancia	4 cella, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, Mini D-sub 15-pin, Ujjlenyomat olvasó, HDMI + DisplayPort	Camera 2.0 Mp		eSATA		
Samsung NP400B2B-A01HU Notebook	208900 Ft	12,5", 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	1,7 kg, 302.1 x 223.7 x 28.3 ~ 32.2mm	2 év garancia	6 cella, 48Wh		Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	Camera 1.3MPix		eSATA		
Toshiba Portégé Z830-10R Notebook	208900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -2367M 1,4GHz /3MB Cache	4 GB, DDR3 1333MHz		128GB SSD, SSD	Intel Graphics 3000 HD	1,1 kg, 316,0 x 227,0 x 8,3 (elöl)/15,9 (hátul) mm	3 év garancia	8 cella, 8 óra átlagos üzemidő		Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo ThinkPad T530i(N1B3UHV) Notebook	208900 Ft	15,6", 1600*900, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,6 kg, 372.8mm x 245.1mm x 31.8-35.6mm	3 év garancia	6 cella, 9 óra átlagos üzemidő, 62.4WHr	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, Intel WiFi Link 1000 BGN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, express card 34 mm	720p HD webkamera				
Asus N56VM-S4073V Notebook	210900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1333MHz		750GB, SATA-2	Nvidia GeForce GT 630M 2GB	2,7 kg, 38.0 x 25.5 x 2.72 ~3.24 cm	2 év garancia	6 cella, 5200mAh	BluRay író	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, Mini D-sub 15-pin, HDMI out	Camera 0.3MPixel				
Toshiba Tecra R840-13T Notebook	211900 Ft	14.0", 1366x768, 16:9	Intel Core i5, -2520M (2,5Ghz, 3MB cache, 1333Mhz FSB)	4 GB, DDR3 1333MHz		500 GB, SATA-2	ATI Radeon HD 6450M 1GB	2,5 kg, 379,0 x 252,0 x 20,8 (elöl) / 25,4 (hátul) mm	3 év garancia	6 cella, 7,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, Display port, Ujjlenyomat olvasó, Toshiba Hi-Speed Port Replicator II porttöbszörözőhöz	Camera 1.3MPix		eSATA		
Dell Latitude E5430 (L065430102E_SPL) Notebook	212900 Ft	14.0", 1366x768, 16:9	Intel Core i5, -3320M 2,6GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,3Kg, 388 mm x 251 mm x 30,2 mm elöl / 33,2 mm hátul	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	Full HD Webkamera		eSATA		
Lenovo ideaPad U310 (59-349003) Notebook	213900 Ft	13,3", 1366x768, 16:9	Intel Core i7, -3517U / 1,90-3.0 GHz / 4MB Cache	4 GB, DDR3 1333MHz		24GB SSD + 500GB HDD, SSD	Intel GMA HD Graphics 4000	1,7 kg, 333*225*18mm	2 év garancia	3 cella, 7 óra átlagos üzemidő, 46WHr		Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad Y580 (59-349171) Notebook	213900 Ft	15,6", 1366x768, 16:9	Intel Core i7, -3610QM 2.30 GHz / 6M Cache	6 GB, DDR3 1600MHz		1 TB, SATA-2	NVIDIA Geforce GTX 660M 2GB	2,8 kg, 385*255*36mm	2 év garancia	6 cella, 5 óra átlagos üzemidő	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 6 in 1 kártyaolovasó, HDMI out	Camera 2.0 Mp				
Dell Vostro 3560 (V3560_142265) Notebook	213900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i7, -3612QM 2.10GHz / 6MB Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,6 kg, 28,8(elöl)/32,5(hátul) x 375 x 259 mm	3 év garancia	6 cella, 48Wh	BluRay / DVD RW, Combo	Linux	10/100/1000, 802.11.b/g/n WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	720p HD webkamera				
Dell Vostro 3560 (V3560_142371) Notebook	213900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i7, -3612QM 2.10GHz / 6MB Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,6 kg, 28,8(elöl)/32,5(hátul) x 375 x 259 mm	3 év garancia	6 cella, 48Wh	BluRay / DVD RW, Combo	Linux	10/100/1000, 802.11.b/g/n WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	720p HD webkamera				
Toshiba Portégé Z830-10F Notebook	214900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -2467M (1.6GHz 4MB cache)	4 GB, DDR3 1333MHz		128GB SSD, SSD	Intel Graphics 3000 HD	1,1 kg, 316,0 x 227,0 x 8,3 (elöl)/15,9 (hátul) mm	3 év garancia	8 cella, 8 óra átlagos üzemidő		Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Toshiba Portégé R830-194 Notebook	215900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -2435M (2.40 / 3.00 Turbo GHz 3MB cache , 1333 MHz FSB)	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel Graphics 3000 HD	1,6 kg, 316,0 x 227,0 x 18,3 (elöl) / 44,1 (hátul) mm	3 év garancia	9 cella, 13 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, HSDPA	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, Display port, Ujjlenyomat olvasó, Toshiba Hi-Speed Port Replicator II porttöbszörözőhöz	Camera 1.3MPix		eSATA		
Fujitsu Lifebook UH552-SHP (VFY:UH552MF031HU) Notebook	215900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		500 GB/5400rpm, SATA-2	Intel GMA HD Graphics 4000	1,6 kg, 323 x 234 x 18,0 mm	2 év garancia	4 cella, 7,5 óra átlagos üzemidő, 42 Wh		Windows 7 Professional 64 bit	10/100, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Dell Vostro 3460 (V3460_145134) Notebook	215900 Ft	14.0", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	6 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,2 kg, 28(elöl)/30,1(hátul) x 345,5 x 244 mm	3 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n, van, WWAN/3G mobil internet modem	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	720p HD webkamera		eSATA		
Asus N76VM-V2G-T1095V Notebook	217900 Ft	17,3", 1920x1080 Full HD, LED, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	6 GB, DDR3 1600MHz		750GB, SATA-2	Nvidia GeForce GT 630M 2GB	3,6 kg, 41.5 x 28.0 x 3.29 cm	2 év garancia	6 cella, 5200mAh	BluRay író	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, Mini D-sub 15-pin, micro HDMI	Camera 1.3MPix				
Dell Vostro 3460 (V3460_141999) Notebook	217900 Ft	14.0", 1366x768, 16:9	Intel Core i7, -3612QM 2.10GHz / 6MB Cache	8 GB, DDR3 1600MHz		750GB, SATA-2	Nvidia GeForce GT 630M 1GB	2,2 kg, 28(elöl)/30,1(hátul) x 345,5 x 244 mm	3 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	720p HD webkamera		eSATA		
Dell Vostro 3460 (V3460_142001) Notebook	217900 Ft	14.0", 1366x768, 16:9	Intel Core i7, -3612QM 2.10GHz / 6MB Cache	8 GB, DDR3 1600MHz		750GB, SATA-2	Nvidia GeForce GT 630M 1GB	2,2 kg, 28(elöl)/30,1(hátul) x 345,5 x 244 mm	3 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	720p HD webkamera		eSATA		
Samsung NP700Z3A-S01HU Notebook	218900 Ft	14,1'', 1600*900, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	6 GB, DDR3 1333MHz		1 TB + 8GB ExpressCache (iSSD), Hibrid Drive	ATI Mobility Radeon HD6490M 1GB DDR5	2,1 kg, 325 x 226 x 23.7mm	2 év garancia	8 cella, 65Wh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 3.0 High Speed , 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Hewlett Packard HP ProBook 6560b (LY448EA) Notebook	218900 Ft	15,6", 1600*900, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		500 GB, SATA-2	ATI Radeon HD 6470M 512MB	2,5 kg, 37,4 x 25,1 x 3,4 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 55Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	4 db USB 2.0 port, Bluetooth 2.1, Médiakártya-olvasó , IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Express Card, DisplayPort	Camera 2.0 Mp		1*eSATA		
Dell Inspiron 7520 (INSP7520-1) Notebook	218900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i7, -3632 2.2/3.2 GHz (6MB Cache, 5 GT/s DMI, 22nm, 35w)	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 7730M 2GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	4 db USB3.0 port, 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Toshiba Qosmio F750-10Z Notebook	220900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -2410M (2.3Ghz, 3MB cache, 1333Mhz FSB)	8 GB, DDR3 1333MHz		640 GB, SATA-2	Nvidia GeForce GT 540M 2GB	2,9 kg, 384 x 263 x 30,6 (elöl)/36,3 (hátul) mm	3 év garancia	Lithium-ion, 4,5 óra átlagos üzemidő	BluRay író, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, DSUB, Express Card, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Lenovo ThinkPad EDGE S430(N3B2FHV) Notebook	220900 Ft	14.0", 1600*900, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		16GB SSD + 500GB/7200rpm HDD, SSD	Nvidia GeForce GT 630M 2GB	1,8 kg, 351mm x 238mm x 22.2-24.2mm	1 év garancia	4 cella, 6 óra átlagos üzemidő, 48,8W	DVD +/- RW	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2 db USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, Mini DisplayPort, Ujjlenyomat olvasó, mini HDMI	720p HD webkamera				
Lenovo Ideapad Y580 (59-349200) Notebook	221900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	6 GB, DDR3 1333MHz		1 TB, SATA-2	NVIDIA Geforce GTX 660M 2GB	2,8 kg, 385*255*36mm	2 év garancia	6 cella, 5 óra átlagos üzemidő	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 6 in 1 kártyaolovasó, HDMI out	Camera 2.0 Mp				
Lenovo ThinkPad T530i(N1B3WHV) Notebook	221900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1333MHz		500 GB/7200rpm, SATA-2	Intel GMA HD	2,6 kg, 372.8mm x 245.1mm x 31.8-35.6mm	3 év garancia	6 cella, 9 óra átlagos üzemidő, 57WHr	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, Intel WiFi Link 1000 BGN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, express card 34 mm	720p HD webkamera				
Hewlett Packard HP ProBook 6470b (B6P72EA) Notebook	221900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,1 kg, 33,8 x 23,1 x 3,4 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 55Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	3 db USB 2.0 port, Bluetooth 4.0 (low energy), Médiakártya-olvasó , IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Express Card, DisplayPort	Camera 2.0 Mp		1*eSATA		
Dell Inspiron 7520 (DI7520A-3612-8GH1TBW6AL) Notebook	225900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i7, -3612QM 2.10GHz / 6MB Cache	8 GB, DDR3 1600MHz		1TB + 32GB , SATA-2	AMD/ATI Radeon HD 7730M 2GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	4 db USB3.0 port, 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 7520 (7520_146190) Notebook	225900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i7, -3632 2.2/3.2 GHz (6MB Cache, 5 GT/s DMI, 22nm, 35w)	8 GB, DDR3 1600MHz		1TB + 32GB , SATA-2	AMD/ATI Radeon HD 7730M 2GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	BluRay / DVD RW, Combo	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	4 db USB3.0 port, 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo ThinkPad T430 (N1T4ZHV) Notebook	227900 Ft	14.0", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,2 kg, 340mm x 229.8mm x 29.9-30.4mm	3 év garancia	6 cella, 9 óra átlagos üzemidő, 57WHr	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, express card 34 mm	Camera 2.0 Mp		eSATA		
Fujitsu LIFEBOOK E752-M (LKN:E7520M0002HU) Notebook	228900 Ft	15,6", 1600*900, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,5 kg, 372 x 245 x 35 mm	3 év garancia	6 cella, 10 óra átlagos üzemidő	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), Médiakártya-olvasó , DSUB + Display port, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Lenovo ThinkPad T530 (N1B3QHV) Notebook	230900 Ft	15,6" HD LED, 1600*900, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,6 kg, 372,8 x 245,1 x 31,8-35,6 mm	3 év garancia	6 cella, 9 óra átlagos üzemidő, 57WHr	DVD +/- RW	Windows 7 Professional 64 bit	10/100/1000, Intel WiFi Link 1000 BGN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, express card 34 mm	720p HD webkamera		eSATA		
Dell Inspiron 7720 (INSP7720-1) Notebook	231900 Ft	17,3", 1920x1080 Full HD, LED, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		750GB, SATA-2	NVidia GeForce GT 650M 2GB	3,3 kg, 416,8 mm x 276 mm x elöl 31,9 mm / hátul 37,37 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		Waves MaxxAudio 4 hangrendszer		
Samsung NP550P5C-T02HU Notebook	231900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i7, -3630QM 2.40GHz / 6M Cache	8 GB, DDR3 1333MHz		1 TB, Hibrid Drive	Nvidia GeForce GT 630M 2GB	2,5 kg, 367,90 mm x 242,8 mm x 30,40 mm	2 év garancia	6 cella, 56WHr	DVD +/- RW, Dual Layer	Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Samsung NP700Z3C-S02HU Notebook	231900 Ft	14.0", 1600*900, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	6 GB, DDR3 1333MHz		1 TB, SATA-2	Nvidia GeForce GT 630M 1GB	2,1 kg, 325 x 226 x 23.7mm	2 év garancia	8 cella, 8000 mAh	DVD +/- RW, Dual Layer	Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	1x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo ideaPad U410 (59-349074) Notebook	233900 Ft	14,1'', 1366x768, 16:9	Intel Core i7, -3517U / 1,90-3.0 GHz / 4MB Cache	4 GB, DDR3 1333MHz		24GB SSD + 1TB HDD, SSD	Nvidia Geforce GT 610M 1GB	1,9 kg, 344*235*21mm	2 év garancia	4 cella, 9 óra átlagos üzemidő, 59WHr		Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Samsung NP700Z3C-S01HU Notebook	233900 Ft	14.0", 1600*900, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	6 GB, DDR3 1333MHz		1 TB (5400rpm) HDD + 8GB Express Cache (Alaplapra integráva), SATA-2	Nvidia GeForce GT 630M 1GB	2,1 kg, 325 x 226 x 23.7mm	2 év garancia	8 cella, 8000 mAh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	1x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Hewlett Packard HP ProBook 6570b (B6Q04EA) Notebook	233900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD Radeon HD7570M 1GB	2,5 kg, 37,4 x 25,1 x 3,4 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), Médiakártya-olvasó , IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, DisplayPort	Camera 1.3MPix				
Samsung NP700Z5C-S01HU Notebook	234900 Ft	15,6", 1600*900, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	6 GB, DDR3 1333MHz		1 TB, SATA-2	Nvidia GeForce GT 640M 1GB	2,1 kg, 325 x 226 x 23.7mm	2 év garancia	8 cella, 8000 mAh	DVD +/- RW, Dual Layer	Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	1x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Toshiba Portégé Z830-11M Notebook	235900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -2467M (1.6GHz 4MB cache)	4 GB, DDR3 1333MHz		128GB SSD, SSD	Intel Graphics 3000 HD	1,1 kg, 316,0 x 227,0 x 8,3 (elöl)/15,9 (hátul) mm	3 év garancia	8 cella, 8 óra átlagos üzemidő		Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Toshiba Tecra R850-17C Notebook	235900 Ft	15,6", 1600*900, 16:9	Intel Core i5, -2520M (2,5Ghz, 3MB cache, 1333Mhz FSB)	4 GB, DDR3 1333MHz		500 GB/7200rpm, SATA-2	ATI Radeon HD 6450M 1GB	2,5 kg, 379,0 x 252,0 x 20,8 (elöl) / 25,4 (hátul) mm	3 év garancia	6 cella, 7 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, HSDPA	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, Display port, Ujjlenyomat olvasó, Toshiba Hi-Speed Port Replicator II porttöbszörözőhöz	Camera 1.3MPix		eSATA		
Lenovo ThinkPad T420 (NW362HV) Notebook	236900 Ft	14,1'', 1600*900, 16:9	Intel Core i5, -2520M (2,5Ghz, 3MB cache, 1333Mhz FSB)	4 GB, DDR3 1333MHz		320 GB/7200rpm, SATA-2	Intel GMA HD	2,2 kg, 340mm x 229.8mm x 29.9-30.4mm	3 év garancia	6 cella, 9 óra átlagos üzemidő, 57WHr	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	3 db USB 2.0 port, Bluetooth 3.0 High Speed , 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, express card 34 mm	Camera 2.0 Mp		eSATA		
Lenovo Ideapad Y580 (59-349175) Notebook	236900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i7, -3610QM 2.30 GHz / 6M Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	NVIDIA Geforce GTX 660M 2GB	2,8 kg, 385*255*36mm	2 év garancia	6 cella, 5 óra átlagos üzemidő	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 6 in 1 kártyaolovasó, HDMI out	Camera 2.0 Mp				
