TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Kategória	Chipset	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	USB 3	SSD	Extra
Apple MacBook Air 11" i5 1,7GHz 4GB 128GB SSD HU	286378 Ft	11,6 " (1366x768 pixel)	Nem	Intel Core i5 (1,7 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	128 GB Nincs rpm SSD	Intel HD Graphics 4000	1,08 kg	1 év		Nincs	Mac OS X 10.7 Lion	Ultrabook		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Thunderbolt port, USB 3.0		Nincs		192x300x3-17 mm	2 db			
Asus X55U-SX007D 15,6"	64906 Ft	15,6 " (1366x768 pixel)	Nem	AMD C Series C-60 (1 GHz, 1 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6290	2,45 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	AMD A68M	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, Mini VGA, USB, USB 3.0, HDMI	SD, MMC	10/100/1000 Mb/s	1 db	378x253x26,2~31,9 mm	1 db			
Toshiba Satellite C850-13G 15,6"	91102 Ft	15,6 " (1366x768 pixel)	Nem	Intel Celeron B820 (1,7 GHz, 2 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	2,3 kg	2 év		DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI	SD, SDHC, SDXC	10/100 Mb/s	1 db	380x242x33 mm	2 db			
Acer Aspire V3-771G-53214G1TMaii szürke	160709 Ft	17,3 " (1600x900 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1066 MHz	Nem	1000 GB 5400 rpm SATA	NVIDIA GeForce GT 630M	3,2 kg	2 év	6 cellás	DVD+-RW DL	Linux	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	414,8 x 275 x 31-34,6 mm	2 db			
Asus K53SD-SX323D 15.6" Pink	124724 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce 610M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Multimédia	Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	378 x 253 x 28,3-34,9 mm	1 db			
HP ProBook 6570b B6P79EA 15,6"	198504 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics	2,51 kg	1 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobil Intel® HM76 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, USB, USB 3.0, ExpressCard 54mm, FireWire	SD, MMC	10/100/1000 Mb/s	2 db	374x251x34 mm	2 db			
Samsung NP550P5C-T01HU	177874 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	6144 MB DDR III MHz	Nem	1000 GB 5400 rpm SATA	NVIDIA GeForce GT 630M	2,5 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	367.9 x 242.8 x 29.9 ~ 30.4 mm	2 db			
Acer Aspire One AOD270-26CRR Piros	52748 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	2048 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3600	1,3 kg	2 év	6 cellás	Nincs	Linux	Netbook	NM10 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, XD, MMC, MS, MS Pro	10/100 Mb/s	3 db	257x184x24 mm				
Packard Bell Easynote F4087-GN-475HG piros	86535 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core P6200 (2 GHz, 2 MB cache)	4096 MB DDR III 1066 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce 610M	2,5 kg	2 év		DVD+-RW DL	Linux	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem			10/100 Mb/s						
Asus UX21A-K1010V 11,6"	278031 Ft	11,6 " (1920x1080 pixel)	Nem	Intel Core i7 3517U (1,9 GHz, 4 MB cache)	4096 MB DDR III 1600 MHz	Nem	128 GB Nincs rpm SSD	Intel HD Graphics 4000	1,1 kg	2 év	6 cellás	Nincs	Windows 7 Home Premium 64 bit	Ultrabook	Intel ® HM76 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Micro HDMI, Mini VGA, USB 3.0		10/100 Mb/s		299x196,8x3~17 mm	2 db			
Toshiba Satellite P875-10R 17,3"	229134 Ft	17,3 " (1600 x 900 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	8192 MB DDR III 1600 MHz	Nem	1024 GB 5400 rpm SATA	NVIDIA GeForce GT 630M	3 kg	2 év		Blu-Ray	Windows 7 Home Premium 64 bit	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC, Micro SD	10/100/1000 Mb/s	2 db	417,6x272,5x28,0-33,7 mm	2 db			
Lenovo IdeaPad Z585A 59-348852	158740 Ft	15,6 " (1360x768 pixel)	Nem	AMD A Series A8-4500M (1,9 GHz, 4 MB cache)	4096 MB DDR III 1333 MHz	Igen	1000 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI		10/100 Mb/s	4 db	376 x 250 x 33 mm				
Acer Aspire V3-571G-32374G50MAKK	125512 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1066 MHz	Igen	500 GB 5400 rpm SATA	Intel HD Graphics 3000	2 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Ultrabook	Intel HM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db		1 db			
Lenovo IdeaPad S300 59-350164	111890 Ft	13,3 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 997 (1,6 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	1,8 kg	2 év	4 cellás	Nincs	Windows 7 Home Premium 64 bit	Általános	Mobile Intel® HM70 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	330 x 230 x 22,4 mm	1 db			
HP EliteBook 8570w LY553EA	392283 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 3610QM (2,3 GHz, 6 MB cache)	4096 MB DDR III MHz	Nem	500 GB 7200 rpm SATA	NVIDIA Quadro K1000M	3 kg	3 év	8 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, USB, USB 3.0, FireWire	SD, SDHC, MMC	10/100/1000 Mb/s	2 db	345 x 38,2 x 257,5 mm	2 db			
Lenovo IdeaPad S300 59-350176 rózsaszín	104173 Ft	13,3 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core 887 (1,5 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	1,8 kg	2 év	4 cellás	Nincs	Windows 7 Home Premium 64 bit	Általános	Mobile Intel® HM70 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	330 x 230 x 22,4 mm	1 db			
Apple MacBook Pro 13" Ci7 8GB 750GB HD4000 magyar	381811 Ft	13,3 " (1280 x 800 pixel)	Nem	Intel Core i7 (2,9 GHz, 4 MB cache)	8192 MB DDR III 1600 MHz	Nem	750 GB 5400 rpm SATA	Intel HD Graphics 4000	2,06 kg	1 év		Nincs	Mac OS X 10.7 Lion	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Thunderbolt port, USB 3.0, FireWire	SDXC	10/100/1000 Mb/s		325x227x24,1 mm	2 db			
Dell Vostro 3460 Ci3-3110 4GB 500GB W8 Piros	174882 Ft	14 " (1366x768 pixel)	Nem	Intel Core i3 3110M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 4000	2,232 kg	3 év	6 cellás	DVD+-RW DL	Windows 8	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, USB 3.0, HDMI		10/100/1000 Mb/s		345,5 x 244 x 28-30,1 mm	4 db			
HP Pavilion DM1-4200SH B9K99EA	111969 Ft	11,6 " (1366x768 pixel)	Nem	AMD E Series E1-1200 (1,4 GHz, 1 MB cache)	4096 MB DDR III MHz	Nem	640 GB 5400 rpm SATA	AMD Radeon HD 7310	1,6 kg	1 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI		10/100/1000 Mb/s	3 db	292 x 215 x 32 mm				
Samsung NP900X3C-A01HU Fekete	291024 Ft	13,3 " (1600x900 pixel)	Nem	Intel Core i5 3317U (1,7 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	128 GB Nincs rpm SSD	Intel HD Graphics 4000	1,16 kg	2 év	6 cellás	Nincs	Windows 7 Home Premium 64 bit	Ultrabook		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Micro HDMI, USB, USB 3.0	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	313,8 x 218,5 x 12,9 mm	1 db			
Asus EEE PC 1015BX-WHI151S 10,1" Fehér	60110 Ft	10,1 " (1024x600 pixel)	Nem	AMD C Series C-60 (1 GHz, 1 MB cache)	1024 MB DDR III 1066 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6250	1,17 kg	2 év	3 cellás	Nincs	Windows 7 Starter Edition	Netbook	AMD A50M (Hudson M1) Fusion	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC	10/100 Mb/s	2 db	262 x 178 x 23.6 ~36.4 mm				
HP ProBook 4340s 13,3" i3-2370M 2GB 320GB	133228 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	1,84 kg	1 év	6 cellás	DVD+-RW DL	OP. rendszer nélkül	Üzleti	Mobil Intel® HM76 Express	SRS Premium Sound PRO	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	1 db	326x229x24 mm	3 db			
Dell Inspiron N7110 HD+ Ci5-2450M 2GB 500GB GT525M	166378 Ft	17,3 " (1600x900 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	2048 MB DDR III 1333 MHz	Igen	500 GB 7200 rpm SATA	NVIDIA GeForce GT 525M	2,99 kg	3 év	6 cellás	DVD+-RW DL	Free DOS	Multimédia	Intel HM67 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, E-SATA, USB, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100 Mb/s	1 db	418 x 286 x 34 mm	2 db			
Dell Inspiron 5520 HD Ci7-3632 6GB 1TB Linux Fehér	162756 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3632QM (2,2 GHz, 6 MB cache)	6144 MB DDR III 1600 MHz	Nem	1000 GB 5400 rpm SATA	Intel HD Graphics 4000	2,9 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
NBK Lenovo IdeaPad G570 (59-346001) 15,6"	99764 Ft																													
Lenovo IdeaPad B580 59-344140	100000 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 2328M (2,2 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	2,35 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s	3 db	378 x 252 x 33.1 mm				
HP ProBook 6570b B6P78EA	180079 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics 3000	2,51 kg	1 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobil Intel® HM76 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, Soros (RS232), USB, USB 3.0, ExpressCard 54mm, FireWire	SD, MMC	10/100/1000 Mb/s	2 db	374x251x34 mm	2 db			
Lenovo IdeaPad Z580G (59-334233) 15,6"	109449 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	2,65 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Multimédia	Mobile Intel® HM76 Express	Dolby Home Theater v4	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, XD, MMC, MS Pro	10/100 Mb/s	2 db	377x245x32,7-34.3 mm	2 db			
Lenovo IdeaPad G585A AMD E1-1200 4GB 500GB DOS	87244 Ft	15,6 " (1360x768 pixel)	Nem	AMD E Series E1-1200 (1,4 GHz, 1 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7310		2 év	6 cellás	DVD+-RW DL	Free DOS	Általános		HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, HDMI		10/100 Mb/s	4 db					
Acer V3-471G-33114G50MADD 14" Arany	132205 Ft	14 " (1366x768 pixel)	Nem	Intel Core i3 3110M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce GT 630M	2,1 kg	2 év	6 cellás	DVD+-RW DL	Linux	Multimédia	Intel HM77	Dolby® Home Theater® v4	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	342x245x23 mm	1 db			
Asus B33E-RO125X	203465 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 3000	1,96 kg	2 év	4 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobile Intel® HM65 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	Mini VGA, ExpressCard 34mm, USB, USB 3.0, ExpressCard 54mm, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	326 x 226 x 29,7 mm	1 db			
Dell Vostro 3460 Ci5-3210 4GB 500GB Linux Bronz	181024 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3210 (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics	2,23 kg	3 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s		345,5x244x28-30,1 mm	4 db			
Acer Aspire V5-171-323a4G50ass_W7HP szürke	112677 Ft	11,6 " (1366x768 pixel)	Nem	Intel Core i3 2377M (1,5 GHz, 3 MB cache)	4096 MB DDR III 1066 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	1,38 kg	2 év	4 cellás	Nincs	Windows 7 Home Premium 64 bit	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI		10/100/1000 Mb/s	2 db					
Dell Inspiron 5520 HD Ci5-3210M 4GB 500GB Ezüst	138898 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,74 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
Dell Vostro 3460 Ci5-3210 4GB 500GB Linux Piros	181024 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics	2,23 kg	3 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s		345,5x244x28-30,1 mm	4 db			
HP 655 (B6M65EA) 15,6"	83543 Ft	15,6 " (1366 x 768 pixel)	Nem	AMD E Series E2-1800 (1,7 GHz, 1 MB cache)	2048 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7340	2,45 kg	1 év	6 cellás	DVD+-RW DL	Linux	Üzleti	AMD A68M	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, MMC	10/100/1000 Mb/s	3 db	376x247x35,8 mm				
Lenovo ThinkPad X220 Tablet 12,5" i5-2520M 4GB	247165 Ft	12,5 " (1366x768 pixel)	Nem	Intel Core i5 2520M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics 3000	1,46 kg	3 év	6 cellás	Nincs	Windows 7 Professional 64 bit	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, Display Port, D-Sub, USB, ExpressCard 54mm	SD	10/100/1000 Mb/s	3 db	305.0x206.5x19 – 34.6 mm				
HP EliteBook 8770w LY561EA	367717 Ft	17,3 " (1920x1080 pixel)	Nem	Intel Core i5 3360M (2,8 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	AMD FirePro M4000	3,47 kg	3 év	8 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobil Intel® QM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, USB, USB 3.0, ExpressCard 54mm, FireWire	SD, MMC	10/100/1000 Mb/s	2 db	37,4x416,5x272,7 mm	2 db			
Acer Aspire TimelineUltra M5-581T-53314G52Mass	201260 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series 3317U (1,7 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 4000	2,25 kg	3 év	3 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Ultrabook	HM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db		2 db		20GB SSD	
Asus B53S-SO180X	218898 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	750 GB 7200 rpm SATA	AMD Radeon HD 6470M	2,69 kg	2 év	4 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobile Intel® QM67 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Mini VGA, Display Port, E-SATA, USB, USB 3.0, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	384 x 263 x 33-35 mm	1 db			
Lenovo ThinkPad T430 14" HD+ i7-3520M 8GB 500GB	322126 Ft	14 " (1600x900 pixel)	Nem	Intel Core i7 3520M (2,9 GHz, 3 MB cache)	8192 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	NVIDIA Quadro NVS 4200M	2,16 kg	3 év	9 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		Dolby® Advanced Audio 2.0	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, Mini Display Port, USB, USB 3.0	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	350x232x29.9 mm	2 db			
Dell Inspiron 5520 HD Ci3-2370M 6GB 1TB Ezüst	135118 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	6144 MB DDR III MHz	Nem	1000 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,74 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100 Mb/s		378 x 252 x 30-34 mm	4 db			
Lenovo IdeaPad U410 14" (59-349074) +24GB SSD	224803 Ft	14 " (1366x768 pixel)	Nem	Intel Core i7 3517U (1,9 GHz, 4 MB cache)	4096 MB DDR III 1333 MHz	Nem	1000 GB 5400 rpm SATA	NVIDIA GeForce 610M	1,8 kg	2 év	3 cellás	Nincs	Windows 7 Home Premium 64 bit	Ultrabook	Mobile Intel® HM77 Express	Dolby ® Home Theater ® v4	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI	SD, MMC	10/100 Mb/s	2 db	344x235x21 mm	2 db		+24GB SSD	
Acer Aspire V3-731-B9804G50Maii Szürke	129055 Ft	17,3 " (1600x900 pixel)	Nem	Intel Pentium Dual Core B980 (2,4 GHz, 2 MB cache)	4096 MB DDR III 1066 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	3,2 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	414,8 x 275 x 31-34,6 mm	2 db			
HP ProBook 6570b B6Q04EA 15,6"	229291 Ft	15,6 " (1600x900 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	AMD Radeon HD 7570M	2,51 kg	1 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobil Intel® HM76 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, Soros (RS232), USB, USB 3.0, ExpressCard 54mm, FireWire	SD, MMC	10/100/1000 Mb/s	2 db	374x251x34 mm	2 db			
Lenovo Thinkpad Edge E130 (NZU34HV) 11,6"	95669 Ft	11,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 977 (1,4 GHz, 2 MB cache)	4096 MB DDR III 1600 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	1,55 kg	1 év	6 cellás	Nincs	OP. rendszer nélkül	Üzleti		Dolby ® Home Theater ® v4	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	1 db	287x212x21,7 mm	2 db			
Acer Aspire V3-571G-736B4G1TMAKK	194331 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3610QM (2,3 GHz, 6 MB cache)	4096 MB DDR III 1066 MHz	Igen	1000 GB 5400 rpm SATA	NVIDIA GeForce GT 640M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Linux	Ultrabook	Intel HM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	381,6 x 253 x 33,2 mm	1 db			
