TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Méret	Szállítás		Biztonság	Mobil internet modul
Dell Inspiron N5040 140967 Notebook	88110 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium Dual Core P6200 (2.13 GHz, 3MB)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.37 kg	3 év	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM57 Express	Dell Audio, 2 speakers	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	376.0 x 260.00 x 31.52 - 34.53 mm	nincs raktáron				
Toshiba Satellite C850-17W Fekete Notebook	88110 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B950 - 2.10 GHz		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.3 kg		6 cellás lithium-ion	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	beépített HD webkamera, Univerzális kártyaolvasó	380.0 x 242.0 x 33.52 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
HP 655 B6M63EA Notebook	86535 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	AMD® E1-1200 Dual-Core™ (1.40 GHz, 1 MB)		320GB SATA 5400rpm	AMD Radeon™ HD 7310	37,6 x 24,7 x 3,58 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó						
Dell Inspiron 15 3520 INSP3520-1 Notebook	88898 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B960 - 2.20 GHz		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.4 kg	1 év garancia	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM75 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS	3 az 1-ben kártyaolvasó (SD,MMC, MS), beépített HD webkamera	376.0 x 260.2 x 34.53 - 31.52 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AS5560-4054G50MNBB NX.RNWEU.002	89370 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® Llano A4-3305M Dual-Core (1M Cache, 1.9 - 2.5 GHz)		500GB SATA 5400rpm	AMD Radeon™ HD 7460M	2.60 kg		6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD® A60M Fusion™	HD Audio, 2 speakers	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	381 x 253 x 34 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AO756-877B2RR NU.SGZEU.002 Netbook	89370 Ft	11,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ 877 (2M, 1.4 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	285 x 202 x 25.9 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	4 cellás lítiumion (Li-Ion)	opcionális külső író (nem tartozék)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® NM10 Express	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, Multi az 1-ben kártyaolvasó						
Dell Inspiron M5040 DI5040A-E450-4GH50D6BK	90079 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-450 Dual-Core (1.65Ghz, 1MB L2)		500GB SATA 5400rpm	AMD Radeon™ HD 6320	2.37 kg	2 év	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Bluetooth v3.0 + HS, Wireless LAN 802.11 g/n (WiFi)	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	376.0 x 260.00 x 31.52 - 34.53 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AO756-877B2BB NU.SH0EU.002 Netbook	92520 Ft	11,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ 877 (2M, 1.4 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	285 x 202 x 25.9 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	4 cellás lítiumion (Li-Ion)	opcionális külső író (nem tartozék)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® NM10 Express	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, Multi az 1-ben kártyaolvasó						
HP 630 A6F12EA Notebook	86535 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-380M (2.53 GHz, 3 MB)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2,5 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Intel® HM55 Express	Altec Lansing® hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37,6 x 24,7 x 3,18 cm	nincs raktáron				
HP 630 C1M13EA Notebook	90472 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2310M (3M Cache, 2.10 GHz)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2,5 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Altec Lansing® hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37,6 x 24,7 x 3,18 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS X55A-SX041D Fekete Notebook	90472 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B970 - 2.30 GHz	4GB DDR3 1333MHz	500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.45 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37.8 x 25.3 x 2.62 ~ 3.19 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Lenovo IdeaPad G580 59-340206 Notebook	0 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B950 - 2.10 GHz		500GB SATA 5400rpm	NVIDIA® GeForce® 610M 1GB DDR3	2,6 kg	2 év	6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db)	5 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	375.9 x 344.9 x 34.3 mm	következő munkanapon				
Lenovo IdeaPad G585A 59-346424 Sötétbarna Notebook	90472 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® E2-1800 Dual-Core™ (1.70 GHz, 1 MB)		500GB SATA 5400rpm	AMD Radeon™ HD 6370M 1GB DDR3 VRAM	2.6 kg	2 év	6 cellás lithium-ion	DVD író / olvasó (supermulti)		AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	376 x 245 x 34.3 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Packard Bell F5211-HC-258HG NX.C0ZES.008 Notebook	90472 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B970 - 2.30 GHz		500GB SATA 5400rpm	NVIDIA® GeForce® GT 620M 1GB DDR3	2.70 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 2 az 1-ben kártyaolvasó	381 x 253 x 34mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS X54HR-SO310D Notebook	0 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B970 - 2.30 GHz	4GB DDR3 1333MHz	500GB SATA 5400rpm	AMD Radeon™ HD 7470M 1GB DDR3 VRAM	2.6 kg		4 cellás (37WHr) lithium-ion	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Altec Lansing® hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)	4 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	37.8 x 25.3 x 3.56 ~ 3.72 cm	következő munkanapon				
Dell Inspiron N5050 145800 Notebook	90472 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B960 - 2.20 GHz		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.37 kg	3 év	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Intel® HM67 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	376.0 x 260.00 x 31.52 - 34.53 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron N5050 145801 Piros Notebook	90472 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B960 - 2.20 GHz		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.37 kg	3 év	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Intel® HM67 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	376.0 x 260.00 x 31.52 - 34.53 mm	nincs raktáron				
Packard Bell F5211-HC-459HG NX.C0ZES.015 Notebook	90472 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B960 - 2.20 GHz		500GB SATA 5400rpm	NVIDIA® GeForce® GT 620M 1GB DDR3	2.70 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 2 az 1-ben kártyaolvasó	381 x 253 x 34mm	nincs raktáron				
Lenovo IdeaPad G570 59-333863 Notebook	90945 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B800 (1.50 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	377 x 250 x 34,9 mm	nincs raktáron	6 cellás lithium-ion	8x DVD író (+/-RW Dual Layer)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	HD Audio, 2 speakers	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (4db), HDMI csatlakozó, Bluetooth v2.1 + EDR, Wireless LAN 802.11 g/n (WiFi)	5 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	2 év					
HP 630 B7B29EA Notebook 6GB	0 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2310M (3M Cache, 2.10 GHz)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2,5 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Altec Lansing® hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37,6 x 24,7 x 3,18 cm	következő munkanapon				
ASUS EEE PC 1225B-GRY082M Szürke Netbook	92835 Ft	11,6" HD WXGA fényes LED TFT 16:9 (1366 x 768)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)	2GB DDR3 1333MHz	320GB SATA 5400rpm	AMD Radeon™ HD 6290	296 x 200 x 28 ~ 35mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (56WHr) lithium-ion	opcionális külső író (nem tartozék)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó						
ASUS EEE PC 1225B-WHI047M Fehér Netbook	92835 Ft	11,6" HD WXGA fényes LED TFT 16:9 (1366 x 768)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)	2GB DDR3 1333MHz	320GB SATA 5400rpm	AMD Radeon™ HD 6290	296 x 200 x 28 ~ 35mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (56WHr) lithium-ion	opcionális külső író (nem tartozék)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó						
Toshiba Satellite C660-2TU Notebook	91260 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B960 - 2.20 GHz		640GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.54 kg		6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, Univerzális kártyaolvasó	380,5 x 254,0 x 28,0 / 35,6 mm	nincs raktáron				
ASUS X55A-SX115D Fekete Notebook	92835 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B980 - 2.40 GHz	4GB DDR3 1333MHz	500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.45 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37.8 x 25.3 x 2.62 ~ 3.19 cm	nincs raktáron				
ASUS K53BR-SX035D Sötétbarna Notebook	91732 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-450 Dual-Core (1.65Ghz, 1MB L2)		500GB SATA 5400rpm	AMD Radeon™ HD 7470M 1GB DDR3 VRAM	2.60 kg		6cellás (56WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD A50M (Hudson M1) Fusion™	Altec Lansing® hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi)	4 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	37.8 x 25.3 x 2.83 ~ 3.49 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Lenovo IdeaPad G585G 59-341994 Sötétbarna Notebook	91732 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® E1-1200 Dual-Core™ (1.40 GHz, 1 MB)		750GB SATA 5400rpm	AMD Radeon™ HD 7310	2.6 kg	2 év	6 cellás lithium-ion	DVD író / olvasó (supermulti)		AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	376 x 245 x 34.3 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS P53E-SO212D Notebook	91732 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B970 - 2.30 GHz		320GB SATA 5400rpm	Intel® HD Graphics 3000	2.60 kg		6cellás (56WHr) lithium-ion	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Altec Lansing® hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Bluetooth, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	4 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	37.8 x 25.3 x 3.17 ~ 3.60 cm	nincs raktáron				
Samsung Series 3 NP300E5A-A06HU Ezüst Notebook	92047 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B800 (1.50 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	367.9 x 243 x 27.1 ~ 33 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	HD Audio, 2 speakers	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	4 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	2 év					
Toshiba Satellite C850-13G Notebook	94095 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B820 (1.70 GHz)		320GB SATA 5400rpm	Intel® Graphics Media Accelerator HD	380.0 x 242.0 x 33.52 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6 cellás lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	beépített HD webkamera, Univerzális kártyaolvasó						
Acer AS7250G-4504G50MN NX.RXXEU.002	92835 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	AMD E-450 Dual-Core (1.65Ghz, 1MB L2)		500GB SATA 5400rpm	AMD Radeon™ HD 7470M 1GB DDR3 VRAM	3.30 kg		6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		AMD A50M (Hudson M1) Fusion™	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, Multi az 1-ben kártyaolvasó	415.0 x 275.0 x 34.3 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Lenovo ThinkPad Edge Plus E135 NZV4RHV Notebook	0 Ft	11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	AMD E-300 Dual-Core (1.3Ghz, 1MB L2)		500GB SATA 5400rpm	AMD Radeon™ HD 6310	1.49 kg		6cellás (62WHr) lithium-ion	opcionális külső író (nem tartozék)		AMD A50M (Hudson M1) Fusion™	Dolby® Advanced Audio™ v2	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített HD webkamera	287 x 212 x 21.7 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron N5040 142039 Notebook	92835 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium Dual Core P6200 (2.13 GHz, 3MB)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.37 kg	3 év	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM57 Express	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	376.0 x 260.00 x 31.52 - 34.53 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AS5560G-4054G50MNRR NX.RUQEU.001	93622 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® Llano A4-3305M Dual-Core (1M Cache, 1.9 - 2.5 GHz)		500GB SATA 5400rpm	AMD Radeon™ HD 7470M 1GB DDR3 VRAM	2.60 kg		6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD® A60M Fusion™	HD Audio, 2 speakers	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	381 x 253 x 34 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Packard Bell F4244-HR-467HG Notebook	93622 Ft	15,6" HD fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B960 - 2.20 GHz		500GB SATA 5400rpm	NVIDIA® GeForce® GT 630M 1GB DDR3	2.65 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	van	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v3.0 + HS	5 az 1-ben kártyaolvasó, beépített webkamera 1.3Mpixel	381 x 253 x 34 mm	nincs raktáron				
