TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	LAN	WLAN	BT	HSDPA	TV ki	Audio	VGA ki	HDMI	DP	FP	Kamera	CR	ExpressCard	FW	eSata	USB	Egyéb	Méret
TOSHIBA Satellite C870-168	123543 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	Intel® Pentium® Processzor B950 (2M Cache, 2.10 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 7610M 1024MB	2.7 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Nem	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	VGA-felbontású webkamera beépített mikrofonnal	Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	413,0 x 268,0 x 33,7 mm	
DELL Inspiron N5110 145798 Diamond BLACK	123543 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 525M / 1024MB DDR3 VRAM	2.5kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM67	10/100mbps LAN	Dell Wireless 1702 (802.11 b/g/n)	Bluetooth 3.0	Nincs	http://www.youtube.com/watch?v=LEsv0NzSbZw	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	HD type (30fps@720p)	8in1 Card reader	Nincs	Nincs	Van	2db USB 2.0 - 2db USB 3.0	Nem	376 x 260 x 29.7-33.8mm	
FUJITSU Lifebook LH532 MPAA5HU	133779 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	8GB DDR3/1600 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 620M 2048MB	2.0kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM76 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=ALwDZ-Asc1U	Realtek ALC269 VC2 HD	Van	Van	Nincs	Nincs	HD type (30fps@720p)	4in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 3db USB 3.0	Nincs	335 x 240 x 33.5 mm	
LENOVO ThinkPad Edge E530 NZQ5SHV	125905 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 3000	2.45kg	12 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® Mobile HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio, Conexant 20671 codec	Van	Van	Nincs	Van	HD720p webkamera	4in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 3db USB 3.0	Nincs	377.0 x 245.0 x 29.5-35.3 mm	
FUJITSU Lifebook LH532 MPAC5HU	133779 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	8GB DDR3/1600 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 620M 2048MB	2.0kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM76 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=ALwDZ-Asc1U	Realtek ALC269 VC2 HD	Van	Van	Nincs	Nincs	HD type (30fps@720p)	4in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 3db USB 3.0	Nincs	335 x 240 x 33.5 mm	
FUJITSU Lifebook A531 MRKE5HU	125905 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1066 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.4kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	RealTek ALC260	Van	Van	Nincs	Nincs	HD type (30fps@720p)	4in1 Card reader	Van	Nincs	Nincs	3db USB 2.0	Nincs	378 x 252 x 35,7-38.4 mm	
ACER V3-571 32354G50Makk	133779 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1066 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Mobile Intel® HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	HD-minőségű webkamera	5in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	382 x 253 x 33.2mm	
DELL Inspiron N5720 146166 Moon Silver	131417 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	3.24kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	HDMI 1.4	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	416.8 x 276 x 31,7 / 37,1	
SAMSUNG NP300E5A-S06HU	150315 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	6GB DDR3/1333 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 520MX / 1024MB + OPTIMUS Technológia	2.3kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1.3MPixel HD	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	367.9 x 243 x 27.6-33.2mm	
SAMSUNG NP300E5C-S03HU	132204 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT610 / 1GB VRAM	2.3kg	24 hónap	4800 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1,3 megapixel felbontású webkamera	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	367.9 x 243 x 27.6-33.2mm	
ACER V3-551G-84508G75Makk	133071 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® Llano A8-4500M (4M Cache, 1.9 - 2.8 GHz)	8GB DDR3/1333 MHz	750GB 5400RPM SATA	AMD Radeon™ HD 7670M / 2048MB	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	AMD A70M Fusion™	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	Dolby® Home Theater® v4	Van	Van	Nincs	Nincs	Acer Crystal Eye HD webcam with	5in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	381.6 x 253 x 25.2-33.2 mm	
LENOVO IdeaPad Z575Am 59-333816	133779 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® Sabine A6-3420M (4M Cache, 1.5 - 2.4 GHz)	4GB DDR3/1066 MHz	500GB 5400RPM SATA	AMD Radeon™ HD6650 1024MB	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	AMD A60M	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	2.0MPixel HD	5in1 Card reader	Nincs	Nincs	Van	3db USB 2.0	Nincs	376 x 250 x 20-35.5mm	
LENOVO IdeaPad S400 59-350220	133779 Ft	14.1" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2365M Processor (3M Cache, 1.40 GHz)	4GB DDR3/1333 MHz	24GB SSD + 500Gb SATA 5400RPM	Intel® GMA HD 3000	1.8kg	24 hónap	2200 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Intel® HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	http://www.youtube.com/watch?v=S96k6NCs64k	SRS Premium Surround Sound	Nincs	Van	Nincs	Nincs	720P webcam	2in1 Card reader	Nincs	Nincs	Nem	1db USB 2.0 - 2db USB 3.0	Nincs	336.6 x 241.2 x 21.0 mm	
HP ProBook 4330s LY466EA	134252 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® GMA HD 3000	2.0kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	720p HD webkamera	Media Card Reader	Van	Nincs	Nincs	3db USB 2.0 - 1db USB 3.0	HP notebook hordtáska	324 x 228 x 27,3 mm	
TOSHIBA Satellite C870-13N	139291 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1333 MHz	640GB 5400RPM SATA	AMD Radeon™ HD 7610M 1024MB	2.7 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Nem	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	VGA-felbontású webkamera beépített mikrofonnal	Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	413,0 x 268,0 x 33,7 mm	
DELL Inspiron N5720 146168 Moon Silver	139291 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	3.24kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	HDMI 1.4	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	416.8 x 276 x 31,7 / 37,1	
HP Pavilion g6-2018sh B6W30EA	141653 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® Llano A10-4600M (4M Cache, 2.3 - 3.2 GHz)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	AMD Radeon™ HD 7670M / 1024MB	2.48kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	AMD A70M	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0,3MPixel - 640x480 felbontással	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Ajándék hordtáska	376 x 244 x 36.3 mm	
LENOVO IdeaPad Z580 59-335968	145590 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 630M 2048MB	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM76 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	1.0MP 720p HD Webkamera	5in1 Card reader	Nincs	Nincs	Van	2db USB 2.0 - 2db USB 3.0	Nem	376 x 250 x 32,9mm	
DELL Inspiron N5520 144234 Moon Silver	149527 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 7670M / 1024MB	2.74kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	347 x 240 x 30,03 / 34,1	
FUJITSU Lifebook AH531 MRLA2HU	141653 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-2430M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1066 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 525M / 1024MB DDR3 VRAM	2.4kg	36 hónap	5800 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	RealTek ALC260	Van	Van	Nincs	Nincs	HD type (30fps@720p)	4in1 Card reader	Van	Nincs	Nincs	3db USB 2.0	Nincs	378 x 252 x 35,7-38.4 mm	
Acer NB V5-171-53318G50ASS Win7	141653 Ft	11.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	8GB DDR3/1066 MHz	500GB 5400RPM SATA	Intel® GMA HD 3000	1.38 kg	24 hónap	2500 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Intel® HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Acer Crystal Eye HD webcam with	2in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	285 x 202 x 20.95-27.35 mm	
ASUS U36SG-RX008D	141653 Ft	13.3" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® G610 / 1GB RAM	1.66kg	24 hónap	5600 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nem	http://www.youtube.com/watch?feature=player_embedded&v=FrKgrsPVkVo	HD Audio	Van	Van	Nincs	Nincs	0.3 megapixeles kamera	5in1 Card reader	Nincs	Nincs	Nem	2db USB 2.0 - 1db USB 3.0	Nem	328 x 238 x 19 mm	
TOSHIBA Satellite L735-137	149527 Ft	13.3" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2330M Processor (3M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	NVIDIA® GeForce G 315 512MB GDDR3	2.1kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	http://www.youtube.com/watch?v=rP7S0ygNevg&feature=player_embedded	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	0,3Mpixel webkamera	4in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0	Nem	329 x 221 x 27.9-36.9mm	
Dell Latitude E5420 140675	147952 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	2GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 3000	2.0kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM65 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Dell Bluetooth 375	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	2.0MPixel HD	4in1 Card reader	Van	Van	Van	4db USB 2.0	Backlit keyboard	350 x 240 x 29.9-32.5 mm	
SAMSUNG NP300E5C-S02HU	145590 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1333 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT610 / 1GB VRAM	2.3kg	24 hónap	4800 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Mobile Intel® HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1,3 megapixel felbontású webkamera	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	367.9 x 243 x 27.6-33.2mm	
DELL Inspiron N5520 144233 Fire RED	153464 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	1000GB 5400RPM SATA	AMD Radeon™ HD 7670M / 1024MB	2.74kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	347 x 240 x 30,03 / 34,1	
LENOVO IdeaPad Y570A (59-324801)	173149 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	NVIDIA® GeForce® GT 555M / 2048MB DDR3 VRAM	2.7kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	2.0MPixel HD	5in1 Card reader	Nincs	Nincs	Van	3db USB 2.0	Nincs	385 x 255 x 22 ~ 35.7 mm	
LENOVO ThinkPad Edge E530 NZQAKHV	149527 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	2.45kg	12 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® Mobile HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio, Conexant 20671 codec	Van	Van	Nincs	Van	HD720p webkamera	4in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 3db USB 3.0	Nincs	377.0 x 245.0 x 29.5-35.3 mm	
Packard Bell Packard Bell TSX66-HR-461HG	149527 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-2430M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1066 MHz	640GB 5400RPM SATA	NVIDIA® GeForce® GT 520M / 1024MB DDR3 VRAM	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nem	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 34mm	
LENOVO ThinkPad Edge E430 NZNCWHV Blue	166535 Ft	14.1" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® G610 / 1GB RAM	2.15kg	12 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® Mobile HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio, Conexant 20671 codec	Van	Van	Nincs	Van	HD720p webkamera	4in1 Card reader	Nincs	Nincs	Nem	1db USB 2.0 - 3db USB 3.0	Nincs	339.4 x 234 x 28.5-33.9mm	
DELL Vostro 3560 142222 Red	161338 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 3000	2.57kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Van	Nem	HD Audio	Van	Van	Nincs	Van	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Backlit Keyboard	375 x 259 x 28,8/32,5 mm	
DELL Vostro 3560 142364 Bronz	161338 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 3000	2.57kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Van	Nem	HD Audio	Van	Van	Nincs	Van	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Backlit Keyboard	375 x 259 x 28,8/32,5 mm	
DELL Vostro 3360 141981 Red	161338 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2367M Processor (3M Cache, 1.40 GHz)	4GB DDR3/1600 MHz	320GB 7200RPM SATA	Intel® GMA HD 3000	1.67kg	36 hónap helyszíni garancia	49WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1703 (802.11b/g/n+ Bluetooth v4.0)	Bluetooth 4.0	Van	Nem	HD Audio	Van	Van	Nincs	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nem	3db USB 3.0	Nem	332 x 232,5 x 18,6/19,2 mm	
DELL Vostro 3360 141979 Ezüst	161338 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2367M Processor (3M Cache, 1.40 GHz)	4GB DDR3/1600 MHz	320GB 7200RPM SATA	Intel® GMA HD 3000	1.67kg	36 hónap helyszíni garancia	49WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1703 (802.11b/g/n+ Bluetooth v4.0)	Bluetooth 4.0	Van	Nem	HD Audio	Van	Van	Nincs	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nem	3db USB 3.0	Nem	332 x 232,5 x 18,6/19,2 mm	
DELL Vostro 3360 141980 Bronz	161338 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2367M Processor (3M Cache, 1.40 GHz)	4GB DDR3/1600 MHz	320GB 7200RPM SATA	Intel® GMA HD 3000	1.67kg	36 hónap helyszíni garancia	49WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1703 (802.11b/g/n+ Bluetooth v4.0)	Bluetooth 4.0	Van	Nem	HD Audio	Van	Van	Nincs	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nem	3db USB 3.0	Nem	332 x 232,5 x 18,6/19,2 mm	
Fujitsu Lifebook UH552 MF015HU	164488 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	1.57kg	24 hónap	2840 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	FreeDos	Intel® HM76 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Nem	DTS Boost™ - Nagy felbontású hangszolgáltatás támogatása	Nincs	Van	Nincs	Nincs	HD webcam	4in1 Card reader	Nincs	Nincs	Nem	2db USB 3.0, 1db USB 2.0	Nem	323 x 234 x 18 mm	
