TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Nyelv	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	OS Jell.	Operációs rendszer Választható nyelv	Videókártya Jellemzők	Operációs rendszer Verzió	Optikai meghajtó Jellemzők	Fizikai paraméterek Ajándék kiegészítők	Fizikai paraméterek Egyéb leírás	Videókártya Dedikált memória
Acer Aspire 5250-E302G32MN	71646 Ft	15,6 "	1366x768 WXGA HD	LED		AMD	E-Series	E-300 1,3GHz	1MB cache, Dual-Core	2 GB	DDR3 1066 MHz	1 x 2GB	320 GB	HDD	5400RPM, SATA	AMD/ATI	Radeon HD 6310	Alaplapi integrált		2,6 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	6 cellás	DVD író		Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar				Memóriakártya olvasó, VGA, Webkamera	3 x USB 2.0, 1 x VGA	Kártyaolvasó	Webkamera: 0,3 megapixel	WLAN	WLAN: b/g/nLAN (RJ45): 10/100	Külön vásárolható	Linux	381 x 253 x 25-34 mm					DVD Super Multi				
Packard Bell EASYNOTE F4211-HR-252HG	71960 Ft	15,6 "	1366x768 WXGA HD	LED	16:9	Intel	Celeron-M Dual Core	B815 1.6GHz	5 GTs / FSB 1333MHz / 2MB L2 cache	2 GB	DDR3 1333 MHz	max. 8GB	500 GB	HDD	SATA 5400 fordulat	Intel	HD Graphics	Alaplapi integrált			1 év (1 év az akkura és töltőre)	El- és visszaszállításos	6 cellás 4400mAh	DVD író	Mobile Intel® HM65 Express	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar				HDMI, Numerikus billentyűzet, Webkamera, Memóriakártya olvasó, VGA	VGA, HDMI, USB 3x	Kártyaolvasó: 5 az 1ben (SD/MMC/MS/MSPro)	1,3MP HD Webkamera	WLAN	Wifi: 802.11b,g,n	Külön vásárolható	Linux		Támogatás: Windows Vista, Windows 7				DVD-RW Supermulti				
Packard Bell EASYNOTE F4011-BZ-253HG	72197 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED		AMD	E-Series	E-300 1.3GHz	FSB 1066MHz / 1MB L2cache	2 GB	DDR3 1066 MHz	1x2048MB	500 GB	HDD	SATA 5400rpm	AMD/ATI	Radeon HD 6310	Alaplapi integrált			2 év (1 év az akkura és töltőre)	El- és visszaszállításos	6 cellás 4400mAh	DVD író	AMD A50M FCH	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar				Numerikus billentyűzet, Webkamera, Memóriakártya olvasó, HDMI, VGA, Bluetooth	Bluetooth 2.1, 3*USB, VGA, HDMI	Kártyaolvasó: 2 az 1ben (SD/MMC/MS/MSPro)	Webkamera: 1,3MP	WLAN	Wifi: 802.11b,g,n	Külön vásárolható	Linpus Linux		Támogatás: Windows Vista, Windows 7				DVD-RW Supermulti				
Packard Bell EasyNote F5211-HC-232HG	72275 Ft	15,6 "	1366x768 WXGA HD	LED	16:9 (200-nit) Packard Bell	Intel	Celeron-M Dual Core	B820 1.70 GHz	2MB Cache	2 GB	DDR3 1066 MHz	1x2GB, max. 8GB	320 GB	HDD	SATA	Intel		Alaplapi integrált		2.5 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	48Wh 4400mAh 6-cellás Li-ion	DVD író		Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	105-/106-/109-gombos Packard BellSpeciális gombok: Packard Bell Social Networks, Media control keys, MyBackup, wireless control, touchpad lock, brightness, volume up/down, mute	Multi-gesture touchpad	High-definition audiosztereo hangszórók, mikrofonHeadphone/speaker jack, Microphone-in jack	Memóriakártya olvasó, HDMI, Numerikus billentyűzet, Webkamera, VGA	3*USB 2.0, HDMI®, VGA	2 in 1 kártyaolvasó	1.3MP HD CrystalEye Webkamera	WLAN	802.11b/g/n Wi-FiGigabit Ethernet LAN	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.4/33.2 (H) mm					8X DVD-Super Multi double-layer				
Asus X55U-SX003D	72275 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED		AMD	E-Series	E450 1.66GHz		2 GB	DDR3 1333 MHz	1slot, max. 4 GB	320 GB	HDD	5400rpm 2.5" SATA	AMD/ATI	Radeon® HD 6320	Alaplapi integrált		2.45 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cellás 4400mAh 47 Whr	DVD író	AMD A68M chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar			Altec Lansing® hangszórók1x Microphone-in jack, 1x Headphone-out jack	Memóriakártya olvasó, Numerikus billentyűzet, Webkamera, HDMI, VGA	3x USB 2.0, 1x VGA Port (D-Sub), 1x HDMI	2-in-1 kártyaolvasó ( SD/ MMC)	0,3MP Webkamera	WLAN	802.11 b/g/n WLAN 10/100/1000 Base T LAN	Külön vásárolható		37.8 x 25.3 x 2.62 ~3.19 cm (WxDxH)					DVD Super Multi DL				
Acer Aspire One 756-B847CBB	73063 Ft	11,6 "	1366x768 WXGA HD	Fényes, LED	CineCrystal	Intel	Celeron-M Dual Core	847 1,1 GHz	2MB cache	4 GB	DDR3 1333 MHz	1 x 4GB	500 GB	HDD	5400rpm Serial ATA	Intel	HD Graphics	Alaplapi integrált		1,38kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	4-cellás Lithium Ion 2600 mAh	Nincs	Mobile Intel® HM70 Express chipset	Ultrahordozható	Netbook	Új	Kék hátlap	Nem	Magyar	teljes méretű Acer FineTip	Multi-touch TouchPad	sztereo hangszóró, mikrofon	Webkamera, Memóriakártya olvasó, VGA, HDMI	HDMI® - 3* USB 2.0 - VGA	2-in-1 Kártyaolvasó: Secure Digital (SD) Card, MultiMediaCard (MMC)	0,30MP Acer Crystal Eye Webkamera	WLAN	Wi-Fi: Acer Nplify™ 802.11b/g/n 10/100 Ethernet	Külön vásárolható	Linux	27.4*285*202mm									
Acer Aspire One 756-B847CKK	73063 Ft	11,6 "	1366x768 WXGA HD	Fényes, LED	CineCrystal	Intel	Celeron-M Dual Core	847 1,1 GHz	2MB cache	4 GB	DDR3 1333 MHz	1 x 4GB	500 GB	HDD	5400rpm Serial ATA	Intel	HD Graphics	Alaplapi integrált		1,38kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	4-cellás Lithium Ion 2600 mAh	Nincs	Mobile Intel® HM70 Express chipset	Ultrahordozható	Netbook	Új	Fekete hátlap	Nem	Magyar	teljes méretű Acer FineTip	Multi-touch TouchPad	sztereo hangszóró, mikrofon	VGA, Memóriakártya olvasó, Webkamera, HDMI	HDMI® - 3* USB 2.0 - VGA	2-in-1 Kártyaolvasó: Secure Digital (SD) Card, MultiMediaCard (MMC)	0,30MP Acer Crystal Eye Webkamera	WLAN	Wi-Fi: Acer Nplify™ 802.11b/g/n 10/100 Ethernet	Külön vásárolható	Linux	27.4*285*202mm									
Acer Aspire One 756-B847CSS	73063 Ft	11,6 "	1366x768 WXGA HD	Fényes, LED	CineCrystal	Intel	Celeron-M Dual Core	847 1,1 GHz	2MB cache	4 GB	DDR3 1333 MHz	1 x 4GB	500 GB	HDD	5400rpm Serial ATA	Intel	HD Graphics	Alaplapi integrált		1,38kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	4-cellás Lithium Ion 2600 mAh	Nincs	Mobile Intel® HM70 Express chipset	Ultrahordozható	Netbook	Új	Ezüst hátlap	Nem	Magyar	teljes méretű Acer FineTip	Multi-touch TouchPad	sztereo hangszóró, mikrofon	Webkamera, Memóriakártya olvasó, VGA, HDMI	HDMI® - 3* USB 2.0 - VGA	2-in-1 Kártyaolvasó: Secure Digital (SD) Card, MultiMediaCard (MMC)	0,30MP Acer Crystal Eye Webkamera	WLAN	Wi-Fi: Acer Nplify™ 802.11b/g/n 10/100 Ethernet	Külön vásárolható	Linux	27.4*285*202mm									
Acer Aspire One 756-B847CRR	73063 Ft	11,6 "	1366x768 WXGA HD	Fényes, LED	CineCrystal	Intel	Celeron-M Dual Core	847 1,1 GHz	2MB cache	4 GB	DDR3 1333 MHz	1 x 4GB	500 GB	HDD	5400rpm Serial ATA	Intel	HD Graphics	Alaplapi integrált		1,38kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	4-cellás Lithium Ion 2600 mAh	Nincs	Mobile Intel® HM70 Express chipset	Ultrahordozható	Netbook	Új	Vörös / Piros hátlap	Nem	Magyar	teljes méretű Acer FineTip	Multi-touch TouchPad	sztereo hangszóró, mikrofon	Webkamera, Memóriakártya olvasó, VGA, HDMI	HDMI® - 3* USB 2.0 - VGA	2-in-1 Kártyaolvasó: Secure Digital (SD) Card, MultiMediaCard (MMC)	0,30MP Acer Crystal Eye Webkamera	WLAN	Wi-Fi: Acer Nplify™ 802.11b/g/n 10/100 Ethernet	Külön vásárolható	Linux	27.4*285*202mm									
Lenovo IdeaPad B570e	84008 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	16:9	Intel	Pentium Dual Core	B950 2.1GHz	2MB L3 cache	4 GB	DDR3 1333 MHz	max. 8GB	500 GB	HDD	5.400rpmActive Protection System™ (APS) 1.0,	Intel	HD Graphics	Alaplapi integrált		2.35kg	2 év (1 év az akkura és töltőre)	Szerviz	6 cellásmax. 3 óra	DVD író	Intel HM65 chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	"AccuType"		2x 1.5W hangszórók, analóg mikrofon1/8” stereo headphone output & microphone input combo jack	Bluetooth, eSATA, Webkamera, Memóriakártya olvasó, Numerikus billentyűzet, HDMI, VGA	Bluetooth 2.1, HDMI, VGA, 3x USB 2.0 port, eSata / USB combo port	6-in1 kártyaolvasó (SD/SD Pro/MMC/MS/MS Pro/XD)	0.3MPixel webkamera	WLAN	Gigabit Ethernet, 802.11 b/g/n wireless	Külön vásárolható	DOS	378 x33.1x252mm (WxHxD)					DVD±RW DL		Galéria megtekintése ->		
Packard Bell EASYNOTE F4011-BZ-235HG	73614 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		AMD	E-Series	E450 - 1.66GHz	1MB cache	2 GB	DDR3 1333 MHz	2 slot / max. 8GB	320 GB	HDD	SATA 5400rpm	AMD/ATI	Radeon HD 6320M	Alaplapi integrált			2 év (1 év az akkura és töltőre)	El- és visszaszállításos	6 cellás 4400mAh	DVD író	AMD® A50M chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar			Hangszóró: 2.0	HDMI, Numerikus billentyűzet, Webkamera, Memóriakártya olvasó, VGA	3*USB, VGA, HDMI	Kártyaolvasó: 2 az 1ben (SD/MMC/MS/MSPro)	Webkamera: 1,3MP	WLAN	Wifi: 802.11b,g,nGigabit LAN	Külön vásárolható	Linpus Linux		Támogatás: Windows Vista, Windows 7				DVD-RW Supermulti				
HP-Compaq 650	90701 Ft	15,6 "	1366x768 WXGA HD	LED, Matt	tükröződéscsökkentő	Intel	Celeron-M Dual Core	B820 1,70 GHz	2 MB L3 gyorsítótár, 2 mag	2 GB	DDR3 1600 MHz	Legfeljebb 8 GB	320 GB	HDD	5400 f/p SATA II	Intel	HD grafikus rendszer	Alaplapi integrált		Min. 2,45 kg	2 év (1 év az akkura és töltőre)	Világ, Szerviz	6 cellás (47 Wh) lítiumionLegfeljebb 6 óra	DVD író	Mobil Intel® HM70 Express	Általános otthoni/irodai	Notebook / Laptop	Új		Nem	Magyar	Iparági szabvány billentyűzet teljes billentyűkiosztással	Érintőtábla 2 részes választógombbal, bal és jobb kattintási funkciókkal; Több érintést támogató mozdulatok	Nagy felbontású audiotámogatásBeépített mikrofonBeépített sztereó hangszóró1 sztereó fejhallgató-/vonali kimenet1 sztereó mikrofonbemenet	HDMI, Memóriakártya olvasó, VGA, Webkamera	3 USB 2.0, 1 HDMI, 1 VGA	1 SD/MMC	Beépített VGA webkamera	WLAN	Ralink 802.11b/g/n 1x1Realtek Ethernet (10/100/1000 hálózati vezérlő)	Windows 7 Home Premium	Microsoft® Office Starter: csak a Word és az Excel® programot tartalmazza, csökkentett funkcionalitással és hirdetésekkel. A PowerPoint® és az Outlook® alkalmazást nem tartalmazza. A teljes szoftvercsomag használatához meg kell vásárolnia az Office 2010 szoftvertHP Recovery ManagerHP Support AssistantHP Connection ManagerCyberlink Power DVD Cyberlink YouCam DE Symantec Norton™ Internet Security 2012 (60 nap)	37,6 x 24,7 x 3,58 cm		Magyar		64 bit	DVD+/-RW SuperMulti DL				
HP-Compaq 655	100386 Ft	15,6 "	1366x768 WXGA HD	Matt, LED	tükröződéscsökkentő	AMD	E-Series	E2-1800 1,7 GHz	1 MB L2 gyorsítótár, 2 mag	4 GB	DDR3 1600 MHz	8 GB-ig bővíthető	500 GB	HDD	SATA II merevlemez (5400 f/p), HP 3D DriveGuard	AMD/ATI	Radeon HD 7340M	Alaplapi integrált		Min. 2,45 kg	2 év (1 év az akkura és töltőre)	Szerviz, Világ	6 cellás (47 Wh) lítiumionLegfeljebb 6 óra	DVD író	AMD A68M	Általános otthoni/irodai	Notebook / Laptop	Új		Nem	Magyar	Iparági szabvány billentyűzet teljes billentyűkiosztással	Érintőtábla 2 részes választógombbal, bal és jobb kattintási funkciókkal; Több érintést támogató mozdulatok	Nagy felbontású audiotámogatás Beépített mikrofon; Beépített sztereó hangszóró; Fejhallgató-/vonalkimenet; Mikrofonbemenet	Webkamera, Memóriakártya olvasó, VGA, HDMI	Bluetooth 4.0 + EDR, 3 USB 2.0; 1 HDMI; 1 VGA	1 SD/MMC	Beépített VGA webkamera	WLAN	Atheros 802.11b/g/n WiFi 1x1 Realtek Ethernet (10/100/1000 hálózati vezérlő)	Windows 8	Microsoft® Office StarterHP Recovery ManagerHP Support AssistantHP Connection ManagerCyberlink Power DVD Cyberlink YouCam Symantec Norton™ Internet Security 2012 (60 nap)	37,6 x 24,7 x 3,58 cm	Microsoft® Office StarterHP Recovery ManagerHP Support AssistantHP Connection ManagerCyberlink Power DVD Cyberlink YouCam Symantec Norton™ Internet Security 2012 (60 nap)	Magyar		64 bit	DVD+/-RW SuperMulti DL				
Acer Aspire V3-531-B822G32MAKK	74165 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	Acer CineCrystal™ (200-nit)	Intel	Celeron-M Dual Core	B820 1.7 Ghz	2MB L3 cache, DDR3 1333 MHz, 35 W, Intel® Smart Cache	2 GB	DDR3 1066 MHz	1 x 2GB, max. 8 GB	320 GB	HDD	5400rpm	Intel	HD Graphics 4000	Alaplapi integrált		2.6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48 Wh 4400 mAh 6-cellás Li-ionmax. 4.5 h	DVD író	Mobile Intel® HM77 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	103-/104-/107-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4 audiosztereo hangszórók, mikrofonHeadphone/speaker jack, Microphone-in jack	Bluetooth, Memóriakártya olvasó, Webkamera, Numerikus billentyűzet, HDMI, VGA, USB 3.0	Bluetooth® 4.0+HS2x USB 2.0 1x USB 3.01x HDMI™, VGA	Multi-in-1 kártyaolvasó (SD™, MMC, MS PRO, xD)	720p HD webkamera 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.2/33.2 (H) mm			Microsoft® DirectX® 10.1		8X DVD-Super Multi double-layer				
Packard Bell EasyNote F5211-BZ-452HG	74724 Ft	15,6 "	1366x768 WXGA HD	LED	16:9 (200-nit) Packard Bell	AMD	E-Series	E1-1200 1.4 Ghz	Dual Core	4 GB	DDR3 1333 MHz	1x4GB, max. 8GB	320 GB	HDD	SATA	AMD/ATI		Alaplapi integrált		2.5 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	48Wh 4400mAh 6-cellás Li-ion	DVD író	AMD® A50M	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Igen	Magyar	105-/106-/109-gombos Packard BellSpeciális gombok: Packard Bell Social Networks, Media control keys, MyBackup, wireless control, touchpad lock, brightness, volume up/down, mute	Multi-gesture touchpad	High-definition audiosztereo hangszórók, mikrofonHeadphone/speaker jack, Microphone-in jack	Webkamera, Numerikus billentyűzet, Memóriakártya olvasó, VGA, HDMI	3*USB 2.0, HDMI®, VGA	2 in 1 kártyaolvasó	1.3 MP Webkamera	WLAN	802.11b/g/n Wi-FiGigabit Ethernet LAN	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.4/33.2 (H) mm					8X DVD-Super Multi double-layer				
Packard Bell EasyNote F5211-HC-231HG	74724 Ft	15,6 "	1366x768 WXGA HD	LED	16:9 (200-nit) Packard Bell	Intel	Pentium Dual Core	B970 2.30 GHz	2MB Cache	2 GB	DDR3 1066 MHz	1x2GB, max. 8GB	320 GB	HDD	SATA	Intel		Alaplapi integrált		2.5 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	48Wh 4400mAh 6-cellás Li-ion	DVD író		Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Igen	Magyar	105-/106-/109-gombos Packard BellSpeciális gombok: Packard Bell Social Networks, Media control keys, MyBackup, wireless control, touchpad lock, brightness, volume up/down, mute	Multi-gesture touchpad	High-definition audiosztereo hangszórók, mikrofonHeadphone/speaker jack, Microphone-in jack	Numerikus billentyűzet, HDMI, VGA, Memóriakártya olvasó, Webkamera	3*USB 2.0, HDMI®, VGA	2 in 1 kártyaolvasó	1.3MP HD CrystalEye Webkamera	WLAN	802.11b/g/n Wi-FiGigabit Ethernet LAN	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.4/33.2 (H) mm					8X DVD-Super Multi double-layer				
Dell Inspiron Mini 1018limitált széria, Swarovski kristályokkal díszítve!	75346 Ft	10,1 "	1024x600 WSVGA	Fényes	TrueLife	Intel	Atom	N455 1.66GHz	512KB L2cache / FSB 667MHz	1 GB	DDR3 1333 MHz	(1x1024)	250 GB	HDD	2.5" 5400rpm SATA	Intel	Graphics Media Accelerator 3150	Alaplapi integrált		1.2kg -1,33kg	2 év (1 év az akkura és töltőre)	Világ, Szerviz	6 cellás 48WHr Li-Ion	Nincs	Intel® NM10 Express	Ultrahordozható	Netbook	Új	Fekete hátlap	Nem	Magyar	Qwertz		1 x 2.0 Watt hangszóróanalóg mikrofon1 headphone jack	Bluetooth, Webkamera, VGA	BlueTooth 3.0, VGA, (2)USB 2.0	3-in-1 kárytaolvasó: Secure Digital (SD/SDHC) Memory CardMulti-Media Card (MMC)Memory Stick (MS/MS Pro)	0.3Mp kamera	WLAN	WLAN 802.11b/g 10/100 LAN (RJ45)	Windows 7 Starter		25.5mm/32.8mm * 268mm * 197mm		Magyar		32 bit					
Packard Bell EasyNote F5211-BZ-231HG4G	75504 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	16:9 (200-nit) Packard Bell	AMD	E-Series	E450 - 1.66GHz	1MB Cache	4 GB	DDR3 1333 MHz	(2+2GB) max. 8GB	320 GB	HDD	5400rpm SATA	AMD/ATI	Mobility Radeon™ HD 6320M	Alaplapi integrált		2.5 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	48Wh 4400mAh 6-cellás Li-ion	DVD író	AMD® A68M chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	105-/106-/109-gombos Packard BellSpeciális gombok: Packard Bell Social Networks, Media control keys, MyBackup, wireless control, touchpad lock, brightness, volume up/down, mute	Multi-gesture touchpad	High-definition audiosztereo hangszórók, mikrofonHeadphone/speaker jack, Microphone-in jack	Webkamera, Numerikus billentyűzet, Memóriakártya olvasó, VGA, HDMI	3*USB 2.0, HDMI®, VGA	2 in 1 kártyaolvasó	1.3MP HD CrystalEye Webkamera	WLAN	802.11b/g/n Wi-FiGigabit Ethernet LAN	Külön vásárolható	Linpus Linux	381.6 (W) x 253 (D) x 25.4/33.2 (H) mm					8X DVD-Super Multi double-layer				
Asus Eee PC 1225B-WHI042W	76055 Ft	11,6 "	1366x768 WXGA HD	Fényes	16:9	AMD	C-Series	C60 1.0GHz	dual core	2 GB	DDR3 1066 MHz	max. 4GB	320 GB	HDD	SATA	AMD/ATI	Mobility™ Radeon® HD6320M	Alaplapi integrált		1.44 Kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cella 5200mAh 56 Wh lítium-ion akkumulátor4 - 6 óra	Nincs	AMD® FUSION (Hudson-M1)	Ultrahordozható	Netbook	Új	Fehér hátlap	Nem	Magyar			Nagyfelbontású hangkodekSztereó hangszóró Kiváló minőségű mikrofon2 db audio aljzat (fejhallgató/mikrofonbemenet)	Webkamera, HDMI, VGA, Memóriakártya olvasó	HDMI, VGA, 3x USB 2.0	Kártyaolvasó: 4 az 1ben SD/ SDHC/ SDXC/ MMC	Webkamera 0,3MPixel - 640x480 felbontással	WLAN	WLAN 802.11 b/g/n@2.4GHz10/100 Mbps Ethernet	Külön vásárolható		296 x 200 x 28 ~35 mm (szélesség x mélység x magasság)	Támogatás: Windows 7								
Asus Eee PC 1225B-GRY023W	76055 Ft	11,6 "	1366x768 WXGA HD	Fényes	16:9	AMD	C-Series	C60 1.0GHz	dual core	2 GB	DDR3 1066 MHz	max. 4GB	320 GB	HDD	SATA	AMD/ATI	Mobility™ Radeon® HD6320M	Alaplapi integrált		1.44 Kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cella 5200mAh 56 Wh lítium-ion akkumulátor4 - 6 óra	Nincs	AMD® FUSION (Hudson-M1)	Ultrahordozható	Netbook	Új	Szürke hátlap	Nem	Magyar			Nagyfelbontású hangkodekSztereó hangszóró Kiváló minőségű mikrofon2 db audio aljzat (fejhallgató/mikrofonbemenet)	Memóriakártya olvasó, Webkamera, VGA, HDMI	HDMI, VGA, 3x USB 2.0	Kártyaolvasó: 4 az 1ben SD/ SDHC/ SDXC/ MMC	Webkamera 0,3MPixel - 640x480 felbontással	WLAN	WLAN 802.11 b/g/n@2.4GHz10/100 Mbps Ethernet	Külön vásárolható		296 x 200 x 28 ~35 mm (szélesség x mélység x magasság)	Támogatás: Windows 7								
Packard Bell EASYNOTE F4211-HR-453HG	76134 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel	Celeron-M Dual Core	B815 1.6GHz	FSB 1333MHz / 2MB L2 cache	4 GB	DDR3 1333 MHz	1x4GB	500 GB	HDD	SATA 5400 fordulat	Intel	HD Graphics	Alaplapi integrált			2 év (1 év az akkura és töltőre)	El- és visszaszállításos	6 cellás 4400mAh	DVD író	Intel HM65 Express	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar				Webkamera, HDMI, Numerikus billentyűzet, VGA, Memóriakártya olvasó	VGA, HDMI, USB 3x	Kártyaolvasó: 5 az 1ben (SD/MMC/MS/MSPro)	1,3MP HD Webkamera	WLAN	Wifi: 802.11b,g,n	Külön vásárolható	LINPUS Linux		Támogatás: Windows Vista, Windows 7				DVD-RW Supermulti				
Asus X55A-SX044D	106212 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel	Celeron-M Dual Core	B820 1.70GHz	2MB cache	2 GB	DDR3 1333 MHz	1slot, max. 4 GB	320 GB	HDD	5400rpm 2.5" SATA	Intel	HD Graphics	Alaplapi integrált		2.45 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 Cellás 4400mAh 47 Whr	DVD író	Mobile Intel® HM65 Express chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar			Altec Lansing® hangszórók, mikrofon1x Microphone-in jack,1x Headphone-out jack	Bluetooth, HDMI, VGA, Memóriakártya olvasó, Webkamera, USB 3.0	Bluetooth 3.0, 1 x USB 3.0, 1x USB 2.0, 1x VGA Port (D-Sub), 1x HDMI	2 -in-1 kártyaolvasó (SD/ MMC)	0,3Mpixel Webkamera	WLAN	802.11 b/g/n WLAN 10/100/1000 Base T LAN	Windows 7 Home Premium	FreeDOS	37.8 x 25.3 x 2.62 ~3.19 cm (WxDxH)	OEM bundle (külön csomagolva, felhasználó által telepítendő)	Magyar		64 bit	Super-Multi DVD				
Acer Aspire V3-531-B822G32MAKK (4GB)	76606 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	Acer CineCrystal™ (200-nit)	Intel	Celeron-M Dual Core	B820 1.7 Ghz	2MB L3 cache, DDR3 1333 MHz, 35 W, Intel® Smart Cache	4 GB	DDR3 1333 MHz	2 x 2GB, max. 8 GB	320 GB	HDD	5400rpm	Intel	HD Graphics 4000	Alaplapi integrált		2.6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48 Wh 4400 mAh 6-cellás Li-ionmax. 4.5 h	DVD író	Mobile Intel® HM77 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	103-/104-/107-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4 audiosztereo hangszórók, mikrofonHeadphone/speaker jack, Microphone-in jack	Numerikus billentyűzet, Webkamera, Memóriakártya olvasó, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth® 4.0+HS2x USB 2.0 1x USB 3.01x HDMI™, VGA	Multi-in-1 kártyaolvasó (SD™, MMC, MS PRO, xD)	720p HD webkamera 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.2/33.2 (H) mm			Microsoft® DirectX® 10.1		8X DVD-Super Multi double-layer				
Lenovo Ideapad G575	84716 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED		AMD	E-Series	Dual-Core E450 1.66GHz	1MB cache	4 GB	DDR3 1333 MHz	2 slot / max. 4GB	750 GB	HDD	SATA 5400rpm	AMD/ATI	Mobility™ Radeon® HD 6320M	Alaplapi integrált		2.6kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	6 cellás 4400mAhmax. 4-5 óra	DVD író	AMD® A50M FCH	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar			2.0 hangszórók (2*1.5W)headphones, mic csatlakozó	Webkamera, Numerikus billentyűzet, Memóriakártya olvasó, VGA	VGA , 4x USB 2.0	Kártyaolvasó: 2 az 1ben (SD/MMC)	Webkamera 0,3MPixel - 640x480 felbontással	WLAN	10/100M LAN, 802.11b/g/n Wi-Fi	Külön vásárolható	FreeDOS	376.8mm x249.8mm x17.3~34.9 mm (WxHxD)		Magyar		64 bit	DVDRW SuperMulti				
