TermékNév	Ár	TFT Méret	TFT Felb.	TFT LED	CPU	RAM Méret	RAM Típus	HDD	GPU	Súly	ODD	OS	WLAN	LAN	BT	USB	eSata	FW	Kamera	CR	HDMI	MiniHDMI	MicroHDMI	DP	MiniDP	Nyelv	USB 3	MOBIL NET	MEREVLEMEZ (SSD)	MÁSODLAGOS INTEGRÁLT VGA TÍPUS
FUJITSU LifeBook AH531 VFY:AH531MF045HU	89260 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics 3000	 2,5 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
FUJITSU LifeBook AH532 VFY:A5320MPAA5HU	126185 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics	 2,5 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
FUJITSU LifeBook AH532 VFY:A5320MPAB5HU	111754 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics	 2,5 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
FUJITSU LifeBook AH532 VFY:AH532MPAA2HU	140092 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,4 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db			 NVIDIA GeForce GT 620	
FUJITSU Lifebook AH552/SL VFY:AH552MF015HU Piros	131732 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2350M 2.30GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,2 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
FUJITSU Lifebook AH552/SL VFY:AH552MF025HU Piros	136802 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-2450M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,2 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
FUJITSU Lifebook AH552/SL VFY:AH552MF031HU Piros	179963 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-2450M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,2 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
FUJITSU Lifebook AH552/SL VFY:AH552MF041HU	192151 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-2450M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,2 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
FUJITSU Lifebook AH552/SL VFY:AH552MF055HU	141065 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-2450M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,2 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
FUJITSU Lifebook AH552/SL VFY:AH552MF065HU	131732 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2350M 2.30GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,2 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
FUJITSU Lifebook AH552/SL VFY:AH552MR015HU Piros	135139 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2350M 2.30GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,2 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
FUJITSU LifeBook E752 LKN:E7520M0002HU	232839 Ft	 15,6"	 1600x900	 Igen	 Intel Core i5-2450M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,5 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem		 2 db				
FUJITSU LifeBook P702 LKN:P702XM0002HU	198271 Ft	 12,1"	 1280x800	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics	 1,5 kg	 Nincs	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Nem	 Magyar	 1 db				
FUJITSU LifeBook P702 LKN:P702XM0003HU	241918 Ft	 12,1"	 1280x800	 Igen	 Intel Core i5-2450M 2.50GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics	 1,5 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Nem	 Magyar	 1 db				
FUJITSU LifeBook P702 LKN:P702XM0004HU	242741 Ft	 12,1"	 1280x800	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics 3000	 1,5 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Nem	 Magyar	 1 db				
FUJITSU LifeBook P771 VFY:P7710MPX01HU	381319 Ft	 12,1"	 1280x800	 Igen	 Intel Core i7-2617M 1.50GHz	 4GB	 DDR3		 Intel HD Graphics	 1,4 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 128 GB		
FUJITSU LifeBook P772 VFY:P7720MPZA1HU	315003 Ft	 12,1"	 1280x800	 Igen	 Intel Core i5-3320M 2.60GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics	 1,3 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Nem	 Magyar	 2 db				
FUJITSU LifeBook S751 vPro VFY:S7510MXP51HU	217718 Ft	 14"	 1366x768	 Igen	 Intel Core i5-2520M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,5 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Igen	 Nem	 Magyar	 1 db				
FUJITSU LifeBook S752 VFY:S7520MF011HU	234473 Ft	 14"	 1600x900	 Igen	 Intel Core i5-2450M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,5 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
FUJITSU LifeBook S761 VFY:S7610MPX01HU	360991 Ft	 13,3"	 1366x768	 Igen	 Intel Core i7-2640M 2.80GHz	 4GB	 DDR3		 Intel HD Graphics	 1,6 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 128 GB		
FUJITSU LifeBook S781 VFY:S7810MPX01HU	292132 Ft	 14"	 1600x900	 Igen	 Intel Core i7-2640M 2.80GHz	 4GB	 DDR3		 Intel HD Graphics 3000	 2,15 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Nem	 Magyar			 128 GB	 Nincs	
FUJITSU LifeBook U772 VFY:U7720M0011HU Ezüst	296813 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 8GB	 DDR3		 Intel HD Graphics 4000	 1,4 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db	 UMTS Wireless Gobi 3000	 128 GB		
FUJITSU LifeBook U772 VFY:U7720M0013HU Ezüst	339618 Ft	 14"	 1366x768	 Igen	 Intel Core i7-3667U 2.00GHz	 8GB	 DDR3		 Intel HD Graphics 4000	 1,4 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db	 UMTS Wireless Gobi 3000	 128 GB		
FUJITSU LifeBook U772 VFY:U7720MF021HU Ezüst	294986 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,4 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db	 3G	 32 GB		
FUJITSU LifeBook U772 VFY:U7720MF041HU	323236 Ft	 14"	 1366x768	 Igen	 Intel Core i7-3667U 2.00GHz	 4GB	 DDR3		 Intel HD Graphics 4000	 1,4 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 128 GB		
FUJITSU LifeBook U772 VFY:U7720MF061HU Piros	233821 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,4 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 32 GB		
FUJITSU LifeBook U772 VFY:U7720MF081HU	279673 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3		 Intel HD Graphics 4000	 1,4 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 128 GB		
FUJITSU Lifebook UH552 VFY:UH552M2302HU	136802 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-3217U 1.80GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,57 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
FUJITSU Lifebook UH552 VFY:UH552MF015HU	143012 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,57 kg	 Nincs	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
FUJITSU Lifebook UH552 VFY:UH552MF021HU	161243 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,57 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
FUJITSU Lifebook UH552 VFY:UH552MF031HU	191580 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,57 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
FUJITSU Lifebook UH552 VFY:UH552MF045HU	135230 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-3217U 1.80GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,57 kg	 Nincs	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
FUJITSU Lifebook UH552 VFY:UH552MF051HU	152014 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-3217U 1.80GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,57 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
FUJITSU Lifebook UH552 VFY:UH552MPZB5HU	174926 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-3217U 1.80GHz	 4GB	 DDR3		 Intel HD Graphics 4000	 1,57 kg	 Nincs	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db	 3G	 128 GB		
FUJITSU Lifebook UH552 VFY:UH552MPZE5HU	174926 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3		 Intel HD Graphics 4000	 1,57 kg	 Nincs	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 128 GB		
FUJITSU LifeBook UH572 VFY:UH572MF021HU	232237 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3		 Intel HD Graphics 4000	 1,4 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db	 UMTS Wireless Gobi 3000	 128 GB		
FUJITSU LifeBook UH572 VFY:UH572MF031HU	179963 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,4 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db	 UMTS Wireless Gobi 3000	 32 GB		
HP 630 A6E76EA	73927 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B815 1.60GHz	 2GB	 DDR3	 500 GB	 Intel GMA 4500MHD	 2,5 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar				 ATi Mobil RadeOn HD6370	
HP 630 A6E83EA	78281 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics	 2,5 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 630 A6F12EA	89545 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-380M 2.53GHz	 2GB	 DDR3	 500 GB	 Intel GMA 4500MHD	 2,5 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar				 ATi Mobil RadeOn HD6370	
HP 630 A6F21EA	88531 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B815 1.60GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 2,5 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 630 A6G40ES	85488 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B800 1.50GHz	 4GB	 DDR3	 500 GB	 Intel GMA 4500MHD	 2,5 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar				 ATi Mobil RadeOn HD6370	
HP 630 C1M13EA	91370 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2310M 2.1GHz	 2GB	 DDR3	 500 GB	 Intel HD Graphics	 2,36 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 630 C1M15EA	109117 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2310M 2.1GHz	 4GB	 DDR3	 500 GB	 Intel GMA 4500MHD	 2,36 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar				 ATi Mobil RadeOn HD6370	
HP 635 A1E47EA	67041 Ft	 15,6"	 1366x768	 Igen	 AMD E-300 1.30GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6310	 2,5 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 635 A1E47EA4G	71752 Ft	 15,6"	 1366x768	 Igen	 AMD E-300 1.30GHz	 4GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD4250	 2,5 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 635 A1E47EAW7	92486 Ft	 15,6"	 1366x768	 Igen	 AMD E-300 1.30GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD4250	 2,5 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 635 A1E50EA A1E50EA	75243 Ft	 15,6"	 1366x768	 Igen	 AMD E-450 1.66GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6310	 2,5 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 635 A1E51EA	76358 Ft	 15,6"	 1366x768	 Igen	 AMD E-450 1.66GHz	 4GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD4250	 2,5 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 650 B6M55EA	69471 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B820 1.70GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics	 2,45 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 650 B6M63EA	84475 Ft	 15,6"	 1366x768	 Igen	 AMD E1-1200 1.40GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD7310	 2,45 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 650 B6N06EA	72205 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B820 1.70GHz	 2GB	 DDR3	 500 GB	 Intel HD Graphics	 2,45 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 650 B6N07EA	85285 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B820 1.70GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics	 2,45 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 650 B6N09EA	81432 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B970 2.30GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics	 2,45 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 650 B6N59EA	77269 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B820 1.70GHz	 2GB	 DDR3	 500 GB	 Intel HD Graphics	 2,45 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 655 B6M62EA	68897 Ft	 15,6"	 1366x768	 Igen	 AMD E1-1200 1.40GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD7310	 2,45 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 655 B6M64EA	73421 Ft	 15,6"	 1366x768	 Igen	 AMD E2-1800 1.70GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD7340	 2,45 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 655 B6M65EA	81432 Ft	 15,6"	 1366x768	 Igen	 AMD E2-1800 1.70GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7340	 2,45 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 655 B6N21EA	80307 Ft	 15,6"	 1366x768	 Igen	 AMD E2-1800 1.70GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD7340	 2,45 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 655 C4X90EA	84475 Ft	 15,6"	 1366x768	 Igen	 AMD E2-1800 1.70GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7340	 2,45 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 655 C4X91EA	81432 Ft	 15,6"	 1366x768	 Igen	 AMD E2-1800 1.70GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7340	 2,45 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP 655 C4X99EA	94413 Ft	 15,6"	 1366x768	 Igen	 AMD E2-1800 1.70GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7340	 2,45 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
HP EliteBook 2170p B6Q12EA	419998 Ft	 11,6"	 1366x768	 Igen	 Intel Core i7-3667U 2.00GHz	 4GB	 DDR3		 Intel HD Graphics 4000	 1,31 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db	 3G	 180 GB		
HP EliteBook 2170p B6Q15EA	279225 Ft	 11,6"	 1366x768	 Igen	 Intel Core i5-3427U 1.80GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,31 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db	 3G			
HP EliteBook 2560p LG668EA	307980 Ft	 12,5"	 1366x768	 Igen	 Intel Core i7-2620M 2.70GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics 3000	 1,67 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Igen	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Nem	 Magyar					
HP EliteBook 2570p B6Q07EA	300300 Ft	 12,5"	 1366x768	 Igen	 Intel Core i5-3360M 2.80GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,63 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Igen	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Nem	 Magyar	 1 db				
