TermékNév	Ár	TFT	TFT Szabány	TFT Méret	TFT Méret +	TFT Felb.	TFT X	TFT Y	TFT Arány	TFT Típus	TFT Touch	TFT Fok	TFT Színhű	CPU	CPU Gyártó	CPU Család	CPU Magok	CPU Frek.	CPU Turbo	CPU SS	CPU Cache	CPU RAM Max	CPU 64	CPU Tech	CPU Wh	CPU Virt	CPU HT	RAM	RAM Méret	RAM Típus	HDD	HDD Típus	HDD 2	HDD 2 Típus	GPU	GPU Gyártó	GPU Család	GPU Típus	GPU Mem	GPU Mem Típus	GPU Tech	GPU DX	GPU Shader	GPU OGL	Súly	Akku	Akku Cella	Akku Wh	Akku Típus	Akku Idő	ODD	ODD Hely	ODD CD	ODD DVD	ODD BR	OS	OS Család	OS Típus	OS Nyelv	OS 32/64	Modell	Kategória	Egyéb	LAN	WLAN	BT	CR	USB	VGA ki	HDMI	Audio	Mikrofon	Kamera	Bill.	Bill. Szín	Bill. Gombok	FP	Kensington	Széles	Mély	Magas	HSDPA	ExpressCard	USB 3	DP	Mikrofon be	Backlit KB	Multitouch	AC	HDD RPM	FW	GPS	Dokk	TPM	TFT 3D	Bill. Num	SPDIF	eSata	Modem	Utazó akkumulátor csatlakozó	Com	Optikai meghajtóLightscribe
LENOVO Ideapad Y580 notebook	197551 Ft	15.6" HD (1366x768) VibrantView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	1000 GB	HDD	1000 GB	HDD	GeForce GTX 660M / 2GB	NVIDIA	GeForce	dedikált (felső kategória)	2,0 GB	GDDR5	28 nm	11,0	5,0	4,1	2,8 kg	LENOVO IdeaPad Y580 6-cell	6	62 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad Y	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	385 mm	255 mm	36 mm			2 db USB3		Igen	Igen	Igen	90 W	5400 fordulat/perc						Igen	Igen						
TOSHIBA Portégé R830 notebook	212511 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2435M	Intel	Core i5	2	2,40 GHz	3,0 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,6 kg	TOSHIBA Portégé R830 9-cell	9	83 Wh	Li-Ion	extra	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	TOSHIBA Portégé R	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	316 mm	227 mm	18 mm	3G/HSDPA		1 db USB3		Igen		Igen	65 W	7200 fordulat/perc			Igen					Igen					
HP Elitebook 8760w Mobile Workstation notebook (Renew*)	0 Ft	17.3" HD+ (1600x900) AG LED	WXGA++	17,3 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2540M	Intel	Core i5	2	2,60 GHz	3,3 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			FirePro M5950 / 1GB	AMD	FirePro	dedikált (felső kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	3,5 kg	HP Elitebook 8760w 8-cell	8	83 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP EliteBook 87xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	6	Igen	Igen	417 mm	272 mm	37 mm		Igen	2 db USB3	Igen	Igen		Igen	230 W	7200 fordulat/perc	Igen		Igen			Igen		Igen	Igen				
ASUS N56 notebook	229834 Ft	15.6" Full HD (1920x1080) AG WVA LED	WUXGA	15,6 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	széles		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			GeForce GT 630M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	40 nm	11,0	5,0	4,0	2,7 kg	ASUS N56 6-cell	6	56 Wh	Li-Ion	normál	Blu-Ray ROM - DVD+/-RW combo	beépített	ír és olvas	ír és olvas	csak olvas	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	ASUS N5x	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	380 mm	256 mm	27 mm			4 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen	Igen						
LENOVO ThinkPad T520 notebook	269992 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2520M	Intel	Core i5	2	2,50 GHz	3,2 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,6 kg	LENOVO ThinkPad T520 6-cell	6	57 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	LENOVO ThinkPad T	közép kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	373 mm	245 mm	32 mm		Igen	0 db USB3	Igen	Igen	Igen	Igen	90 W	5400 fordulat/perc	Igen		Igen					Igen					
HP Elitebook 8560w Premium Business notebook (Renew*)	267637 Ft	15.6" HD+ (1600x900) AG WVA LED	WXGA++	15,6 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	széles		Intel Core i7 2820QM	Intel	Core i7	4	2,30 GHz	3,4 GHz	Igen	8 MB	16 GB	Igen	32 nm	45 W	Igen	Igen	8GB DDR3	8 GB	DDR3	320 GB	HDD			Quadro 1000M / 2GB	NVIDIA	Quadro	dedikált (közép kategória)	2,0 GB	GDDR3	40 nm	11,0	5,0	4,1	3,1 kg	HP Elitebook 8560w 8-cell	8	83 Wh	Li-Ion	kiváló	DVD+/-RW DL LS	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP EliteBook 85xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	5 db USB	Igen		Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	6	Igen	Igen	382 mm	257 mm	35 mm		Igen	2 db USB3	Igen	Igen		Igen	150 W	7200 fordulat/perc	Igen		Igen			Igen		Igen	Igen	Igen		Igen	
LENOVO ThinkPad X220 tablet	0 Ft	12.5" Multi-Touch, HD (1366x768) AG IPS LED	WXGA	12,5 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	igen (passzív)	normál		Intel Core i5 2520M	Intel	Core i5	2	2,50 GHz	3,2 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,6 kg	LENOVO ThinkPad X220 6-cell	6	64 Wh	Li-Ion	kiváló						Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	LENOVO ThinkPad X	közép kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	305 mm	206 mm	26 mm		Igen	0 db USB3	Igen	Igen	Igen	Igen	65 W	7200 fordulat/perc			Igen						Igen				
LENOVO ThinkPad X230i tablet	262118 Ft	12.5" Multi-Touch, HD (1366x768) AG IPS LED	WXGA	12,5 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	igen (passzív)	normál		Intel Core i3 2370M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,7 kg	LENOVO ThinkPad X230 6-cell	6	63 Wh	Li-Ion	normál						Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	LENOVO ThinkPad X	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	305 mm	229 mm	27 mm	foglalat		2 db USB3	Igen	Igen	Igen	Igen	90 W	7200 fordulat/perc													
SONY VAIO S széria notebook (ezüst)	0 Ft	15.5" HD (1920x1080) AG LED	WUXGA	15,5 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2450M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	640 GB	HDD			Radeon HD 6630M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,0 kg	SONY VAIO S series 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit		közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	világos alapon sötét karakterek	2		Igen	380 mm	256 mm	25 mm			1 db USB3			Igen			5400 fordulat/perc			Igen			Igen							
HP Envy 17-2199el 3D High-end Premium notebook (Renew*)	259055 Ft	17.3" 3D, Full HD (1920x1080) Ultra BrightView LED	WUXGA	17,3 "	fényes	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	széles		Intel Core i7 2630QM	Intel	Core i7	4	2,00 GHz	2,9 GHz	Igen	6 MB	8 GB	Igen	32 nm	45 W	Igen	Igen	8GB DDR3	8 GB	DDR3	1000 GB	HDD			Radeon HD 6850M / 1GB	ATI	Radeon	dedikált (felső kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	3,5 kg	HP Envy 17-1/2xxx 6-cell	6	62 Wh	Li-Ion	normál	Blu-Ray ROM - DVD+/-RW combo	beépített	ír és olvas	ír és olvas	csak olvas	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	HP Envy 17	felső kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2		Igen	416 mm	275 mm	32 mm			1 db USB3	Igen	Igen	Igen	Igen	120 W	5400 fordulat/perc					Igen	Igen		Igen					
DELL Vostro 3460 notebook (ezüst)	161338 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2370M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce GT 630M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,0	2,2 kg	DELL Vostro 3460 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Vostro 3xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	345 mm	244 mm	14 mm		Igen	4 db USB3		Igen	Igen	Igen	90 W	7200 fordulat/perc													
TOSHIBA Satellite P755 notebook	281803 Ft	15.6" 3D, HD (1366x768) TruBrite LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:10	LED TFT	nem	normál		Intel Core i7 2670QM	Intel	Core i7	4	2,20 GHz	3,1 GHz	Igen	6 MB	16 GB	Igen	32 nm	45 W	Igen	Igen	8GB DDR3	8 GB	DDR3	500 GB	HDD			GeForce GT 540M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	40 nm	11,0	5,0	4,2	2,6 kg	TOSHIBA Satellite P755 6-cell	6	48 Wh	Li-Ion	normál	Blu-Ray R/RE - DVD+/-RW combo	beépített	ír és olvas	ír és olvas	ír és olvas	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	TOSHIBA Satellite P	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	380 mm	254 mm	28 mm			1 db USB3		Igen		Igen	90 W	7200 fordulat/perc					Igen	Igen							
DELL Latitude E6220 notebook	0 Ft	12.5" HD (1366x768) AG LED	WXGA	12,5 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2520M	Intel	Core i5	2	2,50 GHz	3,2 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA 4500M	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	65 nm	10,0	4,0	2,0	1,5 kg	DELL Latitude E6220 6-cell	6	58 Wh	Li-Ion	kiváló						Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	DELL Latitude E6xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD		sötét alapon világos karakterek	2	Igen	Igen	309 mm	226 mm	25 mm	nincs	Igen	0 db USB3		Igen	Igen	Igen		7200 fordulat/perc			Igen					Igen					
HP Probook 6560b notebook	225110 Ft	15.6" HD+ (1600x900) AG WVA LED	WXGA++	15,6 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	széles		Intel Core i5 2450M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 6470M	ATI	Radeon	dedikált (közép kategória)	0,5 GB	GDDR3	40 nm	11,0	5,0	4,1	2,6 kg	HP Probook 6560b 6-cell	6	55 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP ProBook 65xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	374 mm	250 mm	34 mm	3G/HSDPA	Igen	0 db USB3	Igen	Igen		Igen	90 W	7200 fordulat/perc	Igen	Igen	Igen	Igen		Igen		Igen	Igen	Igen	Igen		
SONY VAIO S széria notebook (fekete)	252669 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2450M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	640 GB	HDD			Radeon HD 6470M	ATI	Radeon	dedikált (közép kategória)	0,5 GB	GDDR3	40 nm	11,0	5,0	4,1	1,8 kg	SONY VAIO S series 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit		közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	331 mm	225 mm	24 mm			1 db USB3			Igen			5400 fordulat/perc			Igen										
TOSHIBA Satellite U840W notebook	247157 Ft	14.4" HD (1792x768) TruBrite LED	-	14,4 "	fényes	HD (720p képes)	1792 pixel	768 pixel	21:9	LED TFT	nem	normál		Intel Core i5 3317U	Intel	Core i5	2	1,70 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	32 GB	SSD	320 GB	HDD	GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,7 kg											Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	TOSHIBA Satellite U	közép kategória	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek				369 mm	200 mm	20 mm			3 db USB3		Igen	Igen	Igen	45 W	5400 fordulat/perc													
LENOVO ThinkPad T430i notebook	0 Ft	14.0" HD+ (1600x900) AG LED	WXGA++	14,0 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2370M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,2 kg	LENOVO ThinkPad T430 6-cell	6	56 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	LENOVO ThinkPad T	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	351 mm	232 mm	30 mm	foglalat	Igen	2 db USB3	Igen	Igen	Igen	Igen	90 W	7200 fordulat/perc													
DELL Inspiron 7720 notebook (ezüst)	0 Ft	17.3" Full HD (1920x1080) AG LED	WUXGA	17,3 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	normál		Intel Core i7 3610QM	Intel	Core i7	4	2,30 GHz	3,3 GHz	Igen	6 MB	32 GB	Igen	22 nm	45 W	Igen	Igen	6GB DDR3	6 GB	DDR3	1000 GB	HDD			GeForce GT 650M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,1	5,0	4,1	3,3 kg	DELL Inspiron 7720 6-cell	6	48 Wh	Li-Ion	normál	Blu-Ray ROM - DVD+/-RW combo	beépített	ír és olvas	ír és olvas	csak olvas	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 17R	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	417 mm	276 mm	32 mm			4 db USB3		Igen		Igen	130 W	5400 fordulat/perc						Igen							
TOSHIBA Tecra R850 notebook (ezüst)	242433 Ft	15.6" HD+ (1600x900) AG LED	WXGA++	15,6 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2520M	Intel	Core i5	2	2,50 GHz	3,2 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 6450M / 1GB	AMD	Radeon	dedikált (belépő szint)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,5 kg	TOSHIBA Tecra R850 6-cell	6	55 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	TOSHIBA Tecra R	közép kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	379 mm	252 mm	21 mm	3G/HSDPA		1 db USB3	Igen	Igen			75 W	7200 fordulat/perc			Igen			Igen		Igen					
SAMSUNG 700Z5C notebook	238496 Ft	15.6" HD+ (1600x900) AG LED	WXGA++	15,6 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	6GB DDR3	6 GB	DDR3	1000 GB	HDD			GeForce GT 640M / 1GB	NVIDIA	GeForce	dedikált (felső kategória)	1,0 GB	GDDR3	28 nm	11,1	5,0	4,1	2,4 kg	SAMSUNG 700Z5 8-cell	8	80 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	SAMSUNG 700Z	közép kategória	otthoni	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	362 mm	239 mm	24 mm			2 db USB3		Igen		Igen	90 W	5400 fordulat/perc													
SAMSUNG 700Z5A notebook	236921 Ft	15.6" HD+ (1600x900) AG LED	WXGA++	15,6 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2450M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	6GB DDR3	6 GB	DDR3	1000 GB	HDD			Radeon HD 6750M / 1GB	AMD	Radeon	dedikált (felső kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,3 kg	SAMSUNG 700Z5 8-cell	8	80 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	SAMSUNG 700Z	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	362 mm	239 mm	24 mm			2 db USB3		Igen	Igen	Igen	90 W	5400 fordulat/perc						Igen							
SAMSUNG 700Z3C notebook	234559 Ft	14.0" HD+ (1600x900) AG LED	WXGA++	14,0 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	6GB DDR3	6 GB	DDR3	1000 GB	HDD			GeForce GT 630M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,0	2,0 kg	SAMSUNG 700Z3C 8-cell	8	65 Wh	Li-Ion Polymer	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	SAMSUNG 700Z	közép kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	2 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	325 mm	226 mm	24 mm			1 db USB3		Igen	Igen	Igen	60 W	5400 fordulat/perc													
DELL Latitude E5530 notebookDELL Latitude E5530DELL Latitude E5530	0 Ft	15.6" Full HD (1920x1080) AG LED	WUXGA	15,6 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3320M	Intel	Core i5	2	2,60 GHz	3,3 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,4 kg	DELL Latitude E5530 6-cell	6	60 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	DELL Latitude E5xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	Full HD	Magyar billentyűzet	sötét alapon világos karakterek	5	Igen	Igen	388 mm	251 mm	30 mm		Igen	2 db USB3		Igen	Igen	Igen	65 W	7200 fordulat/perc	Igen		Igen			Igen		Igen					
SAMSUNG 550P5C notebook (ezüst)	184960 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	6GB DDR3	6 GB	DDR3	1000 GB	HDD			GeForce GT 630M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	40 nm	11,0	5,0	4,0	2,5 kg	SAMSUNG 550 6-cell	6	56 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	SAMSUNG 550	közép kategória	otthoni	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	368 mm	243 mm	30 mm			2 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
